"intitule","lieuTravail.libelle","lieuTravail.codePostal","romeCode","secteurActivite","codeNAF","typeContrat","salaire.libelle","dureeTravailLibelleConverti","experienceLibelle","formations.niveauLibelle","qualificationCode","qualificationLibelle","description"
"Conseiller de vente boutique & E-Commerce - luxe (H/F)","75 - PARIS 14","75014","D1417","70","70.10Z","CDI","Annuel de 23000.0 Euros à 25000.0 Euros sur 12.0 mois","Temps plein","Débutant accepté","Bac+3, Bac+4 ou équivalents","8","Agent de maîtrise","Devenez l'artisan(e) de l'expérience client de l'Artisanat Monastique ! Nous recherchons notre Conseiller (ère) de Vente Boutique & E-commerce - Vous êtes passionné(e) par les produits authentiques et soucieux de l'environnement ? L'Artisanat Monastique, une entreprise unique avec plus de 70 ans d'histoire, vous offre l'opportunité de donner du sens à votre carrière. - Prêt(e) à relever de nouveaux défis ? Nous recherchons un(e) conseiller(ère) de vente polyvalent(e) pour rejoindre notre équipe dynamique et contribuer au développement de notre activité. Description des missions: - En boutique: Vous serez l'interlocuteur privilégié de nos clients, les guidant dans leur découverte de nos produits uniques. Vous contribuerez à créer une expérience d'achat inoubliable en partageant votre passion pour l'artisanat. - En ligne: Vous animerez notre boutique en ligne, en mettant en valeur nos produits à travers des descriptions attrayantes et des visuels soignés. Vous assurerez un suivi personnalisé des commandes et veillerez à la satisfaction de nos clients à distance. Profil recherché: - Vous êtes:  o Passionné(e) : par les produits artisanaux, l'univers monastique et la relation client. o Polyvalent(e) : à l'aise aussi bien en boutique qu'en ligne. o Organisé(e) et rigoureux(se) : pour gérer efficacement les différentes tâches du poste. o Animée par le sens du service client : pour créer une expérience mémorable pour chaque client. - Vous maîtrisez:  o Les techniques de vente et de conseil client. o Les outils informatiques (Pack Office, logiciels de gestion de boutique en ligne). o Les bases du merchandising et de la logistique. o Votre bonne connaissance du monde monastique est nécessaire. o Vous aimez rédiger. Ce que nous vous offrons: - Intégrez notre équipe et bénéficiez de:  o Une formation à nos produits et à notre univers. o Une ambiance de travail conviviale et stimulante, au sein d'une équipe passionnée. o L'opportunité de contribuer à un projet porteur de sens. Rejoignez-nous et faites partie de l'aventure ! CDI, temps plein. L'emploi du temps comprendra des samedis Merci d'adresser votre lettre de motivation et CV par mail."
"Préparateur E-Commerce H/F (H/F)","73 - BOURG ST MAURICE","73700","N1113","47","47.11D","SAI","N/A","Temps plein","Débutant accepté","N/A","6","Employé qualifié","POSTE SAISONNIER / NON LOGE / URGENT Votre mission principale : la satisfaction client à portée de clic Le e-commerce, ça reste une affaire d'humain ! Vous vous assurez de la préparation et de la bonne distribution des commandes, en deux clics trois mouvements. Réception des commandes / Préparation des produits / Emballage et étiquetage des produits / Organisation des commandes Contrôle qualité / Respect des normes de qualité et d'hygiène lors de la préparation et de la livraison  Votre sommet chez U : des valeurs pour grandir ensemble Avec votre énergie et votre passion, vous participez au rayonnement de nos enseignes. En échange, nous vous aidons à vous épanouir au quotidien avec un projet professionnel adapté à vos envies.  Chez U, tout commence avec vous Vous, qui êtes. Soucieux du détail, Prêt à prendre des initiatives pour vous épanouir dans votre environnement Organisé et précis, vous ne laissez passer aucune erreur Attentif de la réception des livraisons au rangement des produits, rien ne vous échappe"
"Chargé de contenus produits E-commerce H/F","69 - CRAPONNE","69290","D1401","64","64.20Z","CDI","Mensuel de 1900.0 Euros à 1950.0 Euros sur 12.0 mois","Temps plein","Débutant accepté","N/A","5","Employé non qualifié","THERMCROSS, Groupe international, est leader sur son marché de la vente à distance de pièces techniques de rechange pour l'entretien, la maintenance et l'exploitation des équipements de chauffage, ventilation et climatisation à destination d'une clientèle B2B (Sociétés de maintenance et exploitants, aux installateurs, aux distributeurs spécialisés et aux industries) et B2C.  Parce que nous sommes convaincus que notre métier est celui du service, nous participons activement à la transformation digitale du secteur en apportant des solutions à forte valeurs ajoutées de la logistique au diagnostic d'installation et/ou dépannage.  Nous recherchons au sein du service e-commerce un chargé de contenus produits E-commerce qui viendra agrandir l'équipe, composé actuellement de 7 personnes. Vous participerez ainsi activement à l'amélioration de notre visibilité et notre audience et à la croissance de notre chiffre d'affaires.  Missions et responsabilités Vous serez le garant de la qualité des contenus publiés sur l'ensemble des sites e-commerce de vente de pièces détachées du Groupe. Vous travaillerez principalement sur le PIM qui permet de diffuser via des flux automatisés les produits sur nos 3 sites B2B (dont 1 multilingue), 3 sites B2C (dont 1 multilingue) et sur les marketplaces.  Vos principales missions seront : La création et optimisation des produits via le PIM, en collaboration avec les services Data et Achat : - Participer à la création des nouveaux produits  - Rédaction des descriptions  - Catégorisation au sein de l'arborescence de chaque site - Optimiser les fiches produits déjà existantes, notamment les descriptions   La gestion des catalogues produits sur les marketplaces - Catégorisation des produits sur chaque marketplace - Traitement des éventuelles erreurs d'intégration  - Echanger avec les marketplaces si besoin  Compétences et connaissances Bac +2/3 en marketing ou digital Vous êtes un as de l'orthographe et de la rédaction et avez des bases en langage html ? Une bonne maitre d' Excel est nécessaire afin de croiser différentes bases de données. Rigueur, méthode et esprit d'équipe font parties intégrantes de votre façon de travailler ? Ce poste est fait pour vous !  Conditions contractuelles Nous vous proposons : - Salaire de 1950 € pour 35h hebdomadaire  - Intéressement annuel (sur la performance du Groupe) : ± 15-20% de votre salaire annuel.  - Télétravail 2 jours par semaine après 6 mois d'ancienneté - Tickets restaurants : 9€/jour dont 60% pris en charge par l'employeur  - Chèques cadeau et culture : 270€ - Chèques vacances : 300€ dont min 50% pris en charge par l'employeur - Mutuelle Santé financée à 79% par l'employeur - Prise en charge de 75% de l'abonnement transports publics"
"Assistant e-commerce et vente magasin (H/F)","33 - ARTIGUES PRES BORDEAUX","33370","D1401","47","47.41Z","CDI","Mensuel de 1900.00 Euros sur 12 mois","Temps plein","Débutant accepté","N/A","5","Employé non qualifié","Vous serez en charge de contribuer au développement de l'activité E-commerce et magasin de Renée.Vous pourrez intervenir sur l'ensemble des activités ventes et marketing en accomplissant les missions définies comme prioritaires par la hiérarchie. Vous participerez à la création de supports web, à l'évolution de la stratégie commerciale et à la mise en place de la stratégie client (CRM). Vous opérerez les actions opérationnelles de mise en ligne, gestion du stock et des commandes, génération de trafic, mesure des performances et interviendrez sur l'analyse des différents indicateurs (trafic, ventes, CA, .). Vous réaliserez une veille concurrentielle et commerciale et vous recommanderez les actions visant à l'amélioration des performances quantitatives et qualitatives des ventes en ligne ou magasin. Vous pourrez être amené(e) à réaliser la production de contenus pour la communication en ligne, notamment à portée SEO. Les missions: - vendre et optimiser les expériences client, - participer au Marketing, - participer à la stratégie commerciale, - edition et création de contenus. Compétences requises: Compétences et expériences sur l'utilisation des outils de productivité numérique (Suite Google, Agenda partagé, ClickUp, Slack, Trello, .) Connaissance des outils marketing numériques (Google Analytics, Brevo, Meta advertising - Facebook, Instagram, etc - Google advertising, etc.) Connaissance du fonctionnement des plateformes E-commerce (Woocommerce, .)  Travail 8h/j dont le samedi.    "
"Gestionnaire de Site E-Commerce (H/F)","66 - PERPIGNAN","66000","M1704","47","47.76Z","CDD","Mensuel de 1802.00 Euros à 2000.00 Euros sur 12 mois","Temps plein","Débutant accepté","Bac+3, Bac+4 ou équivalents","7","Technicien","Nous recherchons un(e) alternant(e) motivé(e) pour gérer et développer notre site en assurant une présentation optimale de nos produits et une expérience utilisateur irréprochable. Vos mission, sous la supervision de l'équipe de direction, vos missions seront :  1. Gestion et mise à jour du site e-commerce : Créer, modifier et mettre en ligne les fiches produits (photos, descriptions, prix, caractéristiques techniques). Gérer les stocks en ligne et assurer leur mise à jour en temps réel. Assurer la cohérence et la qualité des contenus pour améliorer l'expérience utilisateur. 2. Création de contenus visuels : Réaliser des photographies attractives et qualitatives des produits. Retoucher et optimiser les visuels pour le web (dimensions, format, esthétique). Concevoir des bannières et supports visuels pour des campagnes promotionnelles. 3. Optimisation SEO et Marketing Digital : Rédiger des contenus optimisés pour le référencement naturel (SEO). Participer à la mise en place de campagnes e-mailing et promotions. ( un plus ) 4. Service client en ligne : Répondre aux questions des clients via le site ou les réseaux sociaux. Suivre les commandes en ligne et gérer les éventuels retours ou litiges.  Un intérêt pour le jardinage et les produits liés à la nature serait apprécié."
"Employé(e) polyvalent(e) de commerce en ALTERNANCE (H/F)","86 - Usseau","86230","D1507","85","85.59A","CDD","Mensuel de 494.0 Euros à 1829.62 Euros sur 12.0 mois","Temps plein","Débutant accepté","N/A","5","Employé non qualifié","Groupe Alternance Poitiers, recherche pour l'une de ses entreprises partenaires, un(e) employé(e) polyvalent de commerce afin d'effectuer un Titre Professionnel Conseiller de Vente en alternance pour la rentrée 2025 . C'est une formation de niveau baccalauréat, d'une durée de 8 mois. L'intégration en entreprise est possible dès le mois de Janvier.  Vos missions seront : - Accueil client - Vente en boutique et restauration - Service - Mise en rayon - Gestion des stocks - Réception marchandises - Encaissement  Aucun prérequis pour intégrer la formation.  Si vous aimez le relationnel client, que vous êtes dynamique, souriant(e) et curieux(se) ; le poste est fait pour vous !   Votre rythme d'alternance : - 1 jour de cours par semaine :  le mardi.  Vous suivrez une formation gratuite au sein de notre École dans le cadre d'un contrat d'apprentissage (rémunération en fonction de votre âge). L'apprentissage est accessible jusqu'à 30 ans.  N'hésitez pas à envoyer votre CV + lettre de motivation par mail ou à nous contacter par téléphone"
"Employé(e) polyvalent(e) de commerce en ALTERNANCE (H/F)","86 - Jaunay-Marigny","86130","D1507","85","85.59A","CDD","Mensuel de 494.0 Euros à 1829.62 Euros sur 12.0 mois","Temps plein","Débutant accepté","N/A","5","Employé non qualifié","Groupe Alternance Poitiers, recherche pour l'une de ses entreprises partenaires, un(e) employé(e) polyvalent de commerce afin d'effectuer un Titre Professionnel Conseiller de Vente en alternance pour la rentrée 2025 . C'est une formation de niveau baccalauréat, d'une durée de 8 mois. L'intégration en entreprise est possible dès le mois de Janvier.  Vos missions seront : - Accueil client - Vente en boutique et restauration - Service - Mise en rayon - Gestion des stocks - Réception marchandises - Encaissement  Aucun prérequis pour intégrer la formation.  Si vous aimez le relationnel client, que vous êtes dynamique, souriant(e) et curieux(se) ; le poste est fait pour vous !   Votre rythme d'alternance : - 1 jour de cours par semaine :  le mardi.  Vous suivrez une formation gratuite au sein de notre École dans le cadre d'un contrat d'apprentissage (rémunération en fonction de votre âge). L'apprentissage est accessible jusqu'à 30 ans.  N'hésitez pas à envoyer votre CV + lettre de motivation par mail ou à nous contacter par téléphone"
"Chef de rayon/Category Manager junior E-commerce H/F (H/F)","77 - BUSSY ST GEORGES","77600","D1502","47","47.91A","CDI","Mensuel de 2200.0 Euros à 2201.0 Euros sur 12.0 mois","Temps plein","Débutant accepté","N/A","8","Agent de maîtrise","Houra est le pionnier de la livraison de courses à domicile. Déjà en 2000, Houra livrait leurs courses directement chez les clients ! Aujourd'hui, parce que Houra développe, utilise et perfectionne ses propres outils, Houra propose le meilleur service de livraison, le plus large assortiment en ligne ainsi que de nombreux services pour simplifier les courses de ses clients.  Aujourd'hui, nous recherchons un Chef de rayon liquide  Votre mission est la satisfaction de nos clients.  Vous avez la responsabilité d'un ou plusieurs rayons et vous devrez définir l'offre produit que nos clients souhaitent trouver sur Houra.  Rattaché(e) à l'équipe commerciale, vous êtes en relation directe avec les équipes d'approvisionnement et travaillez en étroite collaboration avec le service marketing afin d'animer vos gammes de produits et faire découvrir les nouveaux produits et pépites que vous avez référencés.  Vous êtes en relation directe avec les industriels et les fournisseurs, afin de déterminer un plan promotionnel et d'animation commerciale à travers des opérations thématiques.  Lorsque nos clients vous solliciteront pour compléter notre gamme, vous y répondrez dans les meilleurs délais en référençant le produit demandé au plus vite et aux meilleures conditions possibles.  Vous menez également vos propres actions d'amélioration, tout en garantissant la bonne réalisation des opérations quotidiennes.  Vos challenges :      Définir la gamme qui rendra nos clients heureux     Découvrir et référencer des produits ou fournisseurs qui réjouiront nos clients.     Analyser votre marge et définir les prix de vente les plus justes afin de garantir la rentabilité de l'entreprise et notre positionnement prix par rapport à la concurrence.     Négocier les meilleures conditions commerciales possibles avec vos fournisseurs.     Développer le CA de vos rayons en optimisant la fréquentation de vos rayons et le panier.     Rédiger des fiches produits avec des informations fiables et pertinentes qui rassureront nos clientes et leur donneront envie de les acheter.     Optimiser le parcours client et la recherche des produits sur le site afin de rendre l'expérience client fluide et libératoire.     Animer la relation fournisseur au travers de point régulier.     Conduire des projets d'amélioration.  Le chef de rayon liquide idéal :  Titulaire d'un Bac + 2 , à l'aise avec les outils informatiques et fort d'une première expérience dans le e-commerce ou la grande distribution.  Dynamique et compétiteur, avec une réelle envie d'améliorer quotidiennement la satisfaction de nos clients, vous savez faire preuve d'autonomie et d'initiative dans la gestion quotidienne de votre rayon.  Curieux(se) et enthousiaste, vous aimez découvrir des nouveaux produits et fournisseurs, pour les proposer à nos clients.  Vous êtes doté(e) d'un bon relationnel, vous aimez négocier et animer la relation commerciale avec les fournisseurs  N'hésitez plus, ce poste est fait pour vous !  Type d'emploi : CDI, Temps plein  Rémunération : 2 200,00€ par mois  Avantages :      RTT  Programme de rémunération :      Prime annuelle     Primes  Lieu du poste : En présentiel"
"E-Commerce Manager Hardgoods (H/F)","13 - MARSEILLE 11","13011","M1707","46","46.49Z","CDI","Mensuel de 5000.0 Euros à 5500.0 Euros sur 12.0 mois","Temps plein","48 Mois","N/A","9","Cadre","Dans le cadre du déploiement de sa stratégie digitale, Shark recrute un E - Commerce Manager Hardgoods par la marque Shark mais aussi Nolan , autre marque du Groupe 2 Ride auxquel Shark appartient.  Rattaché/e au Directeur Digital Groupe, et en collaboration avec les fonctions transversales digital du Groupe (digital marketing, webdesign, digital program, IT), vous avez en charge le bon déroulé de la création et lancement des sites e-commerce des marques Nolan et Shark en vous appuyant sur les ressources projet et digitales existantes.  - UX / performance : vous suivez régulièrement les performances marketing / merchandising et UX des sites sous votre responsabilité - Animation commerciale : sur la base des analyses menées, vous mettez en place un plan d'action afin d'atteindre vos objectifs de ventes.  - Animation marketing : sur la base du planning co-défini avec la marque, vous mettez à jour les animations merchandising & branding du site - Demand planning : vous définissez le stock initial nécessaire à l'atteinte de vos objectifs commerciaux pour la saison à venir et veillez à la justesse de vos états de stock - Coordination partenaires : vous maintenez une collaboration étroite avec les équipes marque (à Marseille, FR et Bergame, IT) pourvoyeuses des données produit et animations marketing. Vous établirez des briefs à destination de vos interlocuteurs projet, digital marketing et web design afin d'obtenir les ressources nécessaires à votre plan de croissance. - UX : vous suivez de près les KPIs du site et êtes en charge de l'expression de besoins fonctionnels pour améliorer les performances des sites"
"Apprenti(e) employé(e) de commerce (H/F)","80 - FLIXECOURT","80420","D1507","85","85.59A","CDD","Mensuel de 775 Euros à 955 Euros sur 12 mois","Temps plein","Débutant accepté","N/A","5","Employé non qualifié","Pour notre partenaire, commerce de proximité basé à Flixecourt, vous serez formé(e) au métier d'employé(e) commercial(e) polyvalent(e) par le biais d'un contrat d'apprentissage de 12 mois.  Vous préparez un titre professionnel de niveau BAC: ""Assistant Manager d'Unité Marchande"".  Vous aurez cours tous les jeudis + 2 mardis par mois au sein de notre école basée à Amiens.  Vos Missions : Stand, Rangement, tenue marchande du magasin, mise en rayon, caisse, renseignement clients, manutention..."
