"intitule","lieuTravail.libelle","lieuTravail.codePostal","romeCode","secteurActivite","codeNAF","typeContrat","salaire.libelle","dureeTravailLibelleConverti","experienceLibelle","formations.niveauLibelle","qualificationCode","qualificationLibelle","description"
"Gestionnaire Juridique et Contentieux F/H (H/F)","57 - Metz","57000","K1903","84","84.30A","CDD","Annuel de 23800.0 Euros à 27700.0 Euros sur 14.0 mois","Temps plein","Débutant accepté","N/A","6","Employé qualifié","Conditions du contrat  CDD d'une durée de 5 mois environ (potentiellement renouvelable). Poste à temps plein 36H/semaine, horaires variables, du lundi au vendredi. A pourvoir au 04/02/2025. Salaire annuel brut entre 23 800 € et 27 700 €  Description des missions Vous aurez pour principales missions de :   * Gérer les nouveaux recours, des bordeaux de pièces.  * Assurer la gestion des tableaux de suivi (reporting des audiences, des renvois, des décisions de justice).  * Rédiger des conclusions.  * Procéder à la liquidation des fautes inexcusables.  * Traiter le courrier dématérialisé et version papier.  * Gérer le classement et l'archivage des différents dossiers.  * Participer aux travaux collectifs et à la vie du service.  Selon votre profil, des missions supplémentaires peuvent vous être confiés.  Dès votre arrivée, vous serez accompagné et formé afin de faciliter votre intégration et votre montée en compétence sur les activités confiées.   * Diplôme Bac +3 - Formation juridique de préférence  * Être en capacité d'organiser son travail en fonction des échéances et des relances à effectuer pour le suivi du dossier.  * Posséder un bon esprit d'analyse et des qualités rédactionnelles.  * Actualiser ses connaissances législatives, règlementaires, informatiques et s'adapter aux évolutions.  * Avoir la réactivité permettant une bonne prise en compte des objectifs et enjeux financiers liés à l'activité.  * Faire preuve de rigueur et de structure dans son travail.  * Maitriser les outils informatiques.  * Savoir s'adapter et un goût pour le travail en équipe.  * Avoir le sens de la confidentialité.  Pourquoi nous rejoindre ?  Au sein de nos locaux neufs, vous intégrerez des équipes engagées qui partagent les valeurs de notre CPAM. Nous attachons une importance à la qualité de vie au travail pour concilier vie professionnelle et personnelle. Vous profiterez également de nos autres petits plus :  - Titres restaurants à hauteur de 11€52 - Remboursement des abonnements de transport en commun à hauteur de 75% et frais de parking à 60% - Forfait mobilité durable - Prime de crèche jusqu'aux 3 ans de votre enfant - Comité d'entreprise sous conditions, etc.  Notre processus de recrutement est simple !  1. Envoi de votre candidature sur notre plateforme TALEEZ (CV + Lettre de motivation) : https://taleez.com/apply/gestionnaire-juridique-et-contentieux-f-h-metz-cpam-de-moselle-cdd-4?utm_source=cpam-de-moselle&utm_medium=career <https://taleez.com/apply/gestionnaire-juridique-et-contentieux-f-h-metz-cpam-de-moselle-cdd-4?utm_source=cpam-de-moselle&utm_medium=career>  2. Votre candidature nous intéresse : entretien de pré qualification téléphonique  3. Entretien avec le manager du service et un membre RH  A compétences égales, une attention particulière sera accordée aux candidatures des personnes en situation de handicap. Les candidats retenus devront se conformer aux exigences de la Politique de Sécurité Systèmes d'Information  Vous souhaitez en savoir plus sur nous ?  https://www.ameli.fr/ <https://www.ameli.fr/> https://fr.linkedin.com/company/cpam-de-moselle <https://fr.linkedin.com/company/cpam-de-moselle> https://twitter.com/Cpam57/ <https://twitter.com/Cpam57/> https://www.instagram.com/cpam_57/ <https://www.instagram.com/cpam_57/> https://www.facebook.com/CPAMMoselle/ <https://www.facebook.com/CPAMMoselle/> https://www.youtube.com/@cpam57/featured/ <https://www.youtube.com/@cpam57/featured/>"
"Assistant Administratif service Juridique cellule marchés public  (h/f)","33 - Bordeaux","33000","M1607","78","78.20Z","MIS","Mensuel de 1950.0 Euros à 2100.0 Euros sur 12.0 mois","Temps plein","Débutant accepté","N/A","6","Employé qualifié","L'agence Adecco recrute pour son client, bailleur social, un :   Assistant Administratif cellule marchés public (h/f).   Vos principales missions au sein de la cellule marchés ( 4 pers) seront :    - Tenue du secrétariat téléphonique et physique de la cellule,  - Tenue du secrétariat des réunions afférentes aux différentes procédures en rédigeant les pièces nécessaires à leur bon déroulé (ordres du jour, procès-verbaux).  - Collecte des analyses auprès des services demandeurs dans les délais requis, en soutien du juriste concerné,   -  Suivi des tableaux de bord relatifs à l'activité de la cellule,  - Assistance de la cellule dans la mise en place et l'évolution d'outils transversaux,   - Gestion des tâches afférentes à l'exécution des contrats (sous traitance, notification des procès-verbaux de réception et de levée de réserve, archivage).  - ...   Diplômé Bac en droit + 2/+3 (max) vous avez au moins 2 ans d'expérience dans un poste similaire  vous êtes à l'aise avec les outils bureautiques et capable de créer ou optimiser des tableaux de suivi (EXCEL avancé TCD). Vous possédez également des qualités rédactionnelles. (bon niveau d'orthographe et de syntaxe)   Vous maitrisez le Pack Office. Vous faites preuve de rigueur, d'organisation, de sens du travail en équipe, d'un bon relationnel. Des formations internes sur la commande publique pourront vous permettre d'acquérir les connaissances juridiques spécifiques attendues à ce poste.  Vous aurez l'opportunité de rejoindre une équipe dynamique et motivée, et de contribuer au succès de notre client dans un environnement stimulant et enrichissant.    - Prise de poste dès que possible jusqu'au 14/04/2025  - 35h/Semaine  - Bordeaux   - Salaire mensuel brut base 151,67h à partir de 1950 € + tickets restaurants   Vous avez le diplôme et l'expérience recherchée ainsi qu'une maîtrise avancée d'EXCEL ? Cette mission longue durée vous correspond? merci de postuler directement en ligne à l'offre. "
"Chef/Cheffe de projet juridique, référent(e) RGPD (H/F)","59 - DOUAI","59500","K1903","84","84.13Z","CDI","Mensuel de 3000.0 Euros à 4800.0 Euros sur 12.0 mois","Temps plein","3 An(s)","Bac+5 et plus ou équivalents","9","Cadre","L'Agence de l'Eau Artois-Picardie s'engage depuis près de 60 ans aux côtés des élus et usagers de l'eau pour préserver les ressources en eau du Bassin Artois-Picardie. Elle emploie 140 agents.  Établissement public du Ministère de la Transition Écologique, elle est l'une des 6 agences en charge de la mise en œuvre de la politique nationale de l'eau et des milieux aquatiques. La loi pour la reconquête de la biodiversité, de la nature et des paysages de 2016 étend les missions des agences de l'eau à la biodiversité marine et terrestre.  L'agence perçoit des redevances auprès des usagers pour l'eau prélevée et pour les eaux usées rejetées sur la base des principes « pollueur-payeur » et « préleveur-payeur ». Le produit de ces redevances est ensuite versé sous formes d'aides financières aux usagers pour leurs actions en faveur de la préservation de la ressource en eau et la protection de la biodiversité.  La répartition et les modalités d'aides financières ainsi que le montant des redevances sont définis dans le cadre d'un programme pluriannuel d'intervention approuvé et adopté par le Conseil d'Administration et Comité de Bassin, réunissant toutes les catégories d'usagers.  Au sein de l'agence, la direction des affaires générales et institutionnelles pilote l'action administrative. Le Service affaires juridiques, institutionnelles et communication (SAJIC) soutient et valorise les politiques de l'agence dans le respect de ses règles de fonctionnement, de la règlementation et de la stratégie de communication. Les fonctions du SAJIC sont de : - sécuriser et accompagner juridiquement les actions de l'agence  - assurer le fonctionnement fluide et transversal des instances de bassin - garantir la notoriété, protéger l'image de l'agence et mettre en œuvre sa stratégie de communication - capitaliser la connaissance de l'agence et permettre l'accès à l'information.  Le(la) chef(fe) de projet sécurise et accompagne juridiquement les actions de l'agence, il élabore, met en œuvre et réalise le suivi du programme de travail juridique annuel. Il assure la conformité au règlement général sur la protection des données (RGPD). A ce titre, il (elle) :   - Elabore en associant les différents services de l'agence et pilote le programme de travail juridique annuel. Travaille en lien avec l'experte juridique.  - Participe à la mise en œuvre de la politique juridique et à la sécurité juridique des actes pris par l'agence  - Conduit le projet de mise en conformité des actes de l'Agence au règlement général de la protection des données (RGPD)  - Contribue à l'animation du groupe de travail inter-agences de l'eau sur le volet juridique en appui au chef de service.  Détail des missions via le lien de postulation"
"Assistant(e) juridique Confirmé(e) (H/F)","38 - GRENOBLE","38000","M1612","69","69.10Z","CDI","Mensuel de 2000.0 Euros à 2308.0 Euros sur 13.0 mois","Temps plein","1 An(s)","N/A","6","Employé qualifié","Rejoignez une équipe dynamique en plein cœur de Grenoble   Je recherche un(e) Secrétaire Juridique Confirmé(e) ou Office Manager Juridique pour rejoindre notre cabinet d'avocats dynamique.  Vous jouerez un rôle clé dans l'organisation du cabinet, la gestion administrative et l'optimisation des processus internes. Ce poste allie des compétences classiques de secrétariat juridique à une forte autonomie pour proposer et mettre en œuvre des améliorations organisationnelles.  Votre mission : un rôle clé au cœur de l'action   Missions principales :  1. Accueil et gestion des relations clients - Accueil chaleureux des clients du cabinet : physique et téléphonique - Gestion minutieuse de l'agenda et des prises de rendez-vous. 2. Gestion administrative des dossiers - Ouverture papier et informatique des nouveaux dossiers et gestion dématérialisée (rattachement des mails, courriers recommandés et actes de procédures). - Classement des dossiers papiers et archivage des dossiers terminés. - Gestion dates d'audience. - Suivi et mise à jour des fiches de mise en état des dossiers en cours devant le Tribunal judiciaire. - Préparation rigoureuse et envoi des conventions d'honoraires. - Préparation et dépôt des dossiers papier de plaidoirie.  3. Gestion du courrier et des déplacements - Gestion du courrier postal, déplacements à La Poste et au Palais de Justice (dépôt de LRAR, relevé du courrier au Palais de Justice, transmission du courrier par voie du Palais). - Frappe de courriers simples et recommandés.  4. Facturation et suivi financier - Facturation des clients, suivi des encaissements, relances mensuelles des paiements non réglés. - Règlement par chèques des factures ; - Envoi mensuel des documents comptables ;  5. Gestion des outils et interfaces numériques - Gestion des logiciels interface avec les juridictions administratives et judiciaires (Télérecours/ RPVA).  6. Proactivité et amélioration des processus - Analyse des processus internes  - Propositions pour renforcer en continu l'efficacité administrative et organisationnelle du cabinet.  Profil recherché : - Formation axée sur le secrétariat juridique, l'assistance de direction, ou la gestion. - Expérience confirmée dans un poste similaire, idéalement au sein d'un cabinet d'avocats. - Maîtrise des outils bureautiques et des logiciels de gestion juridique (RPVA, Télérecours, logiciels de facturation). - Rigueur, organisation et autonomie. - Esprit d'initiative et capacité à proposer des solutions innovantes. - Excellentes compétences relationnelles et sens du service.  Rémunération et avantages : - Salaire : à partir de 2 000 euros Bruts pour 35 heures + 13ième mois versé mensuellement ;   Modalités de candidature : > Envoyez votre CV et une lettre de motivation à aurelien.py@py-avocat.fr en précisant en objet : « Candidature Secrétaire Juridique ».  Hâte de découvrir votre profil et de vous accueillir au sein de notre équipe !"
"Conseiller juridique- service de protection juridique des majeurs (H/F)","17 - SAINTES","17100","M1612","87","87.20A","CDD","Mensuel de 2100.0 Euros à 2101.0 Euros sur 12.0 mois","Temps plein","Débutant accepté","Bac+3, Bac+4 ou équivalents","7","Technicien","Descriptif :  Sous l'autorité de l'adjoint du directeur du PPMF et la responsabilité opérationnelle des responsables de services, le conseiller juridique, en lien avec les délégués à la protection des majeurs, prend en charge des actions techniques liées à l'exercice des mesures de protection confiées à l'UDAF. Dans le respect du cadre réglementaire, il garantit les intérêts de la personne protégée. Il apporte conseil et expertise juridique aux responsables de service et délégués à la protection des majeurs et participe à la veille juridique.  Missions principales : - Gestion des mesures ad 'hoc / subrogés curateur-tuteur - Gestion des actions juridiques concernant les personnes protégées, en lien avec les délégués à la protection des majeurs (successions, dons et legs, obligation alimentaire, contentieux de l'aide sociale, contrats de mariage, divorces, liquidations de communautés, ventes, achats de biens, logement .) - Gestion des procédures et contentieux complexes  Formations et expériences : - Maitrise en droit privé - Expérience souhaitée dans un service de protection juridique des majeurs, cabinet d'avocat ou notarial, conseil patrimonial, immobilier ou dans une fonction de juriste. - Maitrise de la législation et du cadre réglementaire (loi du 5 mars 2007, loi du 2 janvier 2002, droit de la famille, des successions, des assurances) - Connaissance du milieu médico-social   Profil : - Capacité d'analyse, de synthèse, de conseil et d'audit et rédactionnelle (synthèse, clarté, qualité)  - Sens de l'anticipation, capacité à rendre compte - Rigueur, organisation et méthode  - Respect des limites d'intervention - Adaptabilité, disponibilité - Permis B exigé  Recrutement dès que possible - CDD jusqu'au 7/1/25 renouvelable"
"Assistant juridique en marché public (H/F)","78 - ANDRESY","78570","M1612","46","46.51Z","CDI","N/A","Temps plein","1 An(s)","Bac+2 ou équivalents","6","Employé qualifié","Notre groupe en croissance est spécialisé depuis plus de 30 ans dans l'aménagement et la réhabilitation dans le tertiaire : locaux professionnels, collectifs, et publics.  Notre mission est de cibler des marchés de niche et apporter à nos clients des services à haute valeur ajoutée. Nous recherchons un(e) Assistant(e) Juridique qui aura un rôle essentiel dans l'entreprise ! En collaboration avec la direction, vous êtes prêt(e) à apprendre et à vous impliquer dans l'entreprise alors rejoignez-nous ! Vos missions : - Assurer une veille juridique et traiter les contentieux avec notre avocat - Assister l'équipe dans la rédaction, la négociation et l'analyse des documents contractuels relatifs aux marchés publics. - Veiller au respect des délais et des obligations légales dans les processus de passation des marchés publics. - Assurer un suivi administratif des marchés et des contrats,  - Rédiger des notes et des rapports juridiques pour la direction. Votre Profil : - Vous êtes rigoureux et méthodique, - Vous savez faire preuve de discrétion et de polyvalence, - Vous êtes prêt à vous investir dans l'entreprise et à apprendre tous les jours ! - Une syntaxe et une orthographe irréprochable sont essentiels. Bac +3 - licence Pro - Bac +2 - BTS/DUT Assistant manager  Type de contrat : CDI Rémunération : à définir selon le profil. Poste basé à Andrésy (78) et à pourvoir immédiatement. A 10 minutes à pied du RER A et des lignes J et L. Station Conflans Fin d'Oise Pour faciliter votre procédure. Merci de compléter le formulaire suivant : https://www.candidat-groupe-krown.fr:557/Accueil"
"Secrétaire juridique","21 - DIJON","21000","M1612","69","69.10Z","CDI","Annuel de 23000 Euros sur 12 mois","Temps plein","3 An(s) - en secrétaire juridique, médical....","Bac ou équivalent","6","Employé qualifié","Cabinet d'avocats recherche secrétaire juridique F/H pour les missions suivantes : - accueil téléphonique et physique - gestion des agendas des avocats - gestion des dossiers ( suivi des procédures, préparation des dossiers) - facturation et suivi des facturations - classement/ archivage   PROFIL RECHERCHE:  - Expérience de 3 ans en secrétariat spécialisé,  assistanat de direction... - Bonne maîtrise du français (orthographe, grammaire) - Maîtrise des outils informatiques ( Word, Outlook, Excel) - Ponctualité, autonomie, esprit d'équipe, rigueur  Horaires : 35h du lundi au vendredi avec un après-midi libre/semaine  poste à pourvoir début janvier 2025"
"ASSISTANT COMMANDE PUBLIQUE ET JURIDIQUE (H/F)","78 - ST CYR L ECOLE","78210","M1607","84","84.11Z","CDD","N/A","Temps plein","1 An(s)","N/A","6","Employé qualifié","UN ASSISTANT ADMINISTRATIF  Par voie de mutation ou contractuelle  (Adjoint administratif H/F)  Rattaché(e) au service Administratif et Financier, sous l'autorité hiérarchique et le contrôle du responsable de la commande publique et du responsable juridique, vous aurez en charge les missions suivantes :  Commande publique : - Accueil téléphonique des sociétés et des services ; - Gestion des courriels ; - Traitement des demandes des entreprises (contrats et marchés) ; - Gestion des commissions locales (agenda, convocations, procès-verbaux.) ; - Suivi administratif des marchés (courriers de notification, courriers de rejet, préparation d'actes administratifs.) ; - Gestion, mise à jour et suivi des tableaux de bord des procédures en cours (rétro-plannings, alimentation en données chiffrées.) ; - Gestion de l'archivage et du classement du service ; - Enregistrement et suivi financier des contrats sur le logiciel métier ; - Validation des factures (contrats) ; - Saisie de bons de commande (à la marge) ; - Participation au suivi d'activités des services   Juridique : - Rédaction des projets de délibération, de décisions ou d'arrêtés du Maire, mais également du règlement intérieur ; - Gestion des dossiers d'assurance (renouvellement de contrats d'assurance de la Flotte Automobile, des Dommages aux biens, de la responsabilité Civile, de la Protection Juridique des collectivités, de la protection fonctionnelle des agents et des élus, extensions d'assurance pour les expositions, assurance rapatriement pour les séjours enfance ou jeunesse, déclarations et suivi des sinistres ; - Préparation et Gestion du budget du service ; - Contrôle au niveau de l'orthographe les contrats, conventions, avenants, décisions arrêtés et délibérations émanant de l'ensemble des services municipaux ; - Rédaction de certaines décisions (régies, contrats, défense des intérêts de la commune), arrêtés du maire (délégations de fonctions, de signature, de dérogation aux horaires de fermeture de bars-restaurants), renouvellement de contrats par reconduction expresse ; - Préparation pour reliure des actes, les arrêtés, les décisions et les délibérations (numéroter, parapher.), - Gestion du tableau de bord des dossiers de contentieux ; - Gestion des notifications par voie administrative, des demandes de subventions départementales par les associations, des candidatures pour l'exercice de la profession de chauffeur de taxi, recouvrement de la taxe sur les emplacements publicitaires ; - Recherche des archives pour les services municipaux et de décrets de naturalisation pour les administrés ; - Mise à jour des différents supports et guides juridiques     PROFIL SOUHAITE  - Capacités rédactionnelles et excellente maîtrise de la langue française ; - Bonne connaissance des outils collaboratifs (planning partagé, web conférence.) ; - Bonne connaissance des outils bureautiques (Pack Office, Maarch) ; - Connaissance du logiciel métier (CIRIL) appréciée - Formation possible ; - Connaissance des procédures et de la réglementation relatives au domaine d'activité, appréciée ; - Ponctualité, rigueur, bonne aisance orale et relationnelle ; - Capacité d'organisation ; - Discrétion et sens de la confidentialité   Rémunération statutaire + régime indemnitaire + 13ème mois+ PLURELYA  Candidatures à adresser à Madame le Maire  Hôtel de Ville - BP 106 - 78 211 SAINT-CYR-L'ÉCOLE Cedex, ou par mail via le site de la ville rubrique « nous écrire »"
"Collaborateur juridique (H/F)","69 - VILLEURBANNE","69100","K1903","71","71.12B","CDI","N/A","Temps plein","2 An(s)","N/A","7","Technicien","Dans le cadre de son développement, ENERLY ECO recherche un collaborateur juridique. Sous la responsabilité hiérarchique du PDG et de la Direction des opérations, vous serez en charge de :  Contribuer à la veille réglementaire et technique: - L'analyse des textes réglementaires CEE & Ma Prime Rénov (MPR) dans le but de les maîtriser et de pouvoir les mettre en application, - La participation à la veille réglementaire du service et communiquer sur les évolutions actées par la rédaction de flashs réglementaires, - S'assurer du suivi des évolutions réglementaires et mettre en place un plan d'actions pour assurer la conformité réglementaire, - La participation aux groupes de travail de l'Association Technique Energie Environnement, - L'analyse des opportunités pour économie d'énergie grâce à la veille, - L'organisation des sessions d'échanges avec les équipes de production et commerciales sur l'actualité réglementaire, - L'échange avec l'Association Technique Energie Environnement dans le cadre de l'évolution du dispositif des CEE, - La rédaction des newsletters réglementaires, - La rédaction des communications en interne + externe.  Assurer le support technique et réglementaire: - La rédaction des règles de traitement de dossiers, - D'évaluer techniquement des gisements de CEE sur présentation de documents, - L'accompagnement des équipes de production à la constitution des dossiers CEE (sectorisation, documents nécessaires aux différents types de dossiers, etc), - L'accompagnement des équipes sur les questions techniques rencontrées ou remontées par leurs partenaires, - S'assurer d'un contrôle qualité dans une optique d'amélioration continue, - La participation à la rédaction et à la mise à jour de contrats de partenariats.  Participer à la mise en place de processus et d'outils: - La création et la mise à jour des outils et documents à destination des équipes de Production et Commerciale (Calculateurs/Check-list/Notices/Documents/réglementaires (AH)), - La rédaction des process.  Ce poste est fait pour vous si : - Vous êtes titulaire à minima d'un DUT Carrières Juridiques / d'une Licence en Droit et justifiez d'au moins deux ans d'expérience ou possédez une expertise approfondie dans le secteur du BTP ou des CEE, - Vous savez fonctionner en autonomie au sein d'une équipe, - Vous avez d'excellentes qualités rédactionnelles, - Vous êtes réactif, curieux et impliqué, - Vous savez intégrer votre contribution à la réussite de l'entreprise.  Dès votre arrivée, une formation est prévue par notre équipe spécialisée ainsi que pendant la durée de votre contrat afin d'appréhender le domaine des CEE et la complexité technique des travaux pour une meilleure compréhension des enjeux."
"assistant administratif et juridique en collectivité H/F","42 - LA GRAND CROIX","42320","M1612","84","84.11Z","CDD","N/A","Temps plein","3 An(s) - gestion administrative et juridique","Bac+2 ou équivalents","7","Technicien","Sous l'autorité du Directeur des ressources humaines et des affaires générales, l'assistant(e) administratif(ve) et juridique :   - Prépare et assure le suivi du Conseil municipal (rédaction des notes de synthèses, délibérations, convocations, procès-verbaux etc.) - Assure le suivi des actes administratifs : délibérations, décisions municipales, arrêtés municipaux - Assure la tenue des registres et le suivi des dossiers d'assurances - Assure l'administration générale (rédaction des courriers du Maire, des élus, de comptes-rendus, courriers, notes, mails. ) et facilite la diffusion des informations - Assure le suivi des marchés publics : rédaction des pièces administratives, participation aux études d'offres et notification, tenue des tableaux de bords de suivi. - Assure la veille juridique des actes administratifs et le conseil aux élus - Assure le suivi et le renouvellement des conventions - Assure le suivi des acquisitions et cessions - Accompagne le montage des dossiers de subventions  Profil recherché Vous avez une formation juridique et/ou d'administration générale Vous êtes rigoureux-se, réactif-ve, organisé-e, vous aimez travailler en équipe, êtes respectueux-se des obligations de discrétion et de confidentialité. Vous êtes doté-e d'une bonne compréhension orale et écrite. Vous êtes disponible, notamment lors des pics d'activités liés à la préparation des réunions de l'assemblée délibérante et à l'actualité générant parfois des horaires avec une amplitude variable. Vous avez idéalement une expérience et des connaissances en matière de fonctionnement des collectivités territoriales.  Vous êtes à l'aise pour appliquer la réglementation en vigueur, tenir des tableaux de bord et transmettre de l'information. Vous savez constituer et suivre des dossiers administratifs, et êtes à l'aise avec l'utilisation de logiciels de bureautique.  Conditions - Temps complet - Contractuel (sur contrat de 12 mois) - Rémunération statutaire + RIFSEEP + 13ème mois - télétravail possible, à terme - accès aisé et stationnement à proximité - Salle de pause aménagée - prise en compte de la qualité de vie au travail - souplesse dans l'aménagement du temps de travail  La collectivité peut s'engager à accompagner le candidat dans le développement des compétences liées à ce poste. "
