"intitule","lieuTravail.libelle","lieuTravail.codePostal","romeCode","secteurActivite","codeNAF","typeContrat","salaire.libelle","dureeTravailLibelleConverti","experienceLibelle","formations.niveauLibelle","qualificationCode","qualificationLibelle","description"
"CHARGE DE PROJET MARKETING H/F","01 - Ambérieu-en-Bugey","01500","M1403","78","78.20Z","CDI","Annuel de 35000.0 Euros à 70000.0 Euros sur 12.0 mois","Temps plein","2 An(s)","N/A","9","Cadre","Sous la supervision du Responsable, vous jouerez un rôle clé dans un environnement de croissance rapide. Vous serez en charge des missions suivantes : - Élaborer les budgets et former les équipes opérationnelles adaptées aux besoins des projets en France et à l'international. - Superviser le bon déroulement des projets depuis la phase de pré-étude jusqu'à l'industrialisation, en garantissant le respect des normes ISO 9001. - Identifier et anticiper les risques potentiels afin de les atténuer efficacement. - Piloter, coordonner et animer les projets en collaborant avec les différents départements de l'entreprise (Marketing, R&D, Industrialisation, Achats...). - Motiver les équipes concernées pour assurer leur implication. - Fournir un accompagnement technique et un soutien à la prise de décision aux équipes (développeurs, concepteurs...). - Assister les équipes Marketing et commerciales dans leurs relations avec les clients. - Rédiger et mettre à jour les documents de suivi de projet. - Veiller au respect des engagements liés aux projets. - Assurer une communication régulière sur l'avancement des projets et signaler les écarts éventuels. - Contribuer au support technique post-vente. - Favoriser l'approche agile dans la gestion des projets.  Nous souhaitons intégrer une personne : - Capable de saisir les enjeux et les objectifs des projets, - Pragmatique, réactive, dynamique, polyvalente et autonome, - Force de proposition, avec une capacité à arbitrer et à prendre des décisions, - Dotée d'un excellent sens du travail en équipe, d'une forte aisance relationnelle et de compétences en communication, - Motivée à s'engager dans une structure à taille humaine en plein développement, offrant de réelles perspectives d'évolution, - Ayant un bon niveau d'anglais, permettant des échanges fluides à l'oral comme à l'écrit. Pour ce poste nous recherchons un(e) candidat(e) titulaire d'une formation supérieure technique de niveau BAC +5 (Ingénieur), disposant d'une solide base technique et d'au moins une première expérience professionnelle. Poste à pourvoir dès que possible, en CDI . Salaire à définir en fonction de votre expérience.  Interessé par ce poste ? Postulez ! "
"Un-e Chargé-e de marketing direct - Acquisition - CDI (H/F)","75 - PARIS 11","75011","M1705","94","94.99Z","CDI","Annuel de 30000.0 Euros à 33000.0 Euros sur 12.0 mois","Temps plein","Débutant accepté","N/A","8","Agent de maîtrise","Oxfam France est membre de la confédération Oxfam, une organisation internationale de développement qui mobilise le pouvoir citoyen contre la pauvreté. Nous travaillons dans plus de 80 pays afin de trouver des solutions durables pour mettre fin aux injustices qui engendrent la pauvreté. En France, Oxfam mène depuis plus de 30 ans des campagnes de mobilisation citoyenne et de pression sur les décideurs politiques. Elle contribue également aux actions humanitaires d'urgence et aux projets de développement du réseau, en collaboration avec des partenaires et des alliés dans le monde entier.  Au sein de l'équipe Collecte de fonds (8 personnes), le/la Chargé-e de marketing direct - Acquisition travaille sous la responsabilité du Responsable de la collecte de fonds. Il ou elle pilote l'acquisition de donateurs réguliers en marketing direct, notamment en face à face qui est le principal canal d'acquisition d'Oxfam France, et en télémarketing, afin de développer les ressources de l'association.  Missions du poste  1/ Participer à la définition de la stratégie d'acquisition des donateurs en marketing direct - Participer à l'élaboration du plan d'action annuel d'acquisition des donateurs, et à la définition des dépenses/recettes associées; - Organiser les négociations annuelles avec les prestataires de face à face et de télémarketing, le process de sélection, l'établissement des contrats; - Monitorer les performances tout au long de l'année, alerter et proposer des solutions pour faire face aux aléas.  2/ Piloter les missions de recrutement des donateurs en marketing direct - Piloter la mise en œuvre des campagnes de marketing direct (recrutement de donateurs en face à face, campagnes télémarketing: welcome call, transfo PA, leads to call etc.) : faire le ciblage, réaliser les extractions, mettre en place les transferts de données, produire le matériel nécessaire à la mise en place des missions (script télémarketing, matériel pour le face à face.) ; - Assurer le suivi des prestataires de face à face et de télémarketing: suivi des plannings, facturation, formation initiale et continue des équipes, visites terrain, échanges réguliers ; - Assurer un suivi quantitatif et qualitatif des actions de recrutement en fonctions des objectifs fixés et du budget prévu et effectuer un reporting régulier.  3/ Représenter Oxfam France en interne et en externe et être en veille sur les bonnes pratiques au sein du secteur - Représenter Oxfam France dans les groupes de travail autour des sujets du face à face et du télémarketing en France, notamment la Coordination Nationale du Face à Face; - Représenter Oxfam France dans les groupes de travail Face à Face au niveau d'Oxfam International; - Effectuer une veille active sur le secteur de la générosité en France, participer aux groupes de travail et aux séminaires pertinents, rencontrer les nouveaux acteurs et être force de proposition pour l'adoption de nouvelles pratiques.  4/ Participer au développement et au fonctionnement du service Collecte de Fonds, de la direction de l'Engagement Citoyen et de l'association - Participer à la réflexion globale en interne sur les sujets de prospection et de fidélisation, notamment dans le cadre du chantier à venir sur les supporter journeys ; - Participer au bon fonctionnement du pôle et prêter main forte en fonction des pics d'activité (campagne d'urgence, fin d'année etc.) et des opportunités ; - Contribuer au bon fonctionnement et au développement de la direction de l'engagement citoyen et d'Oxfam France."
"Chef adjoint du département marketing (H/F)","92 - PUTEAUX","92800","K2108","85","85.42Z","CDI","N/A","Temps plein","48 Mois","N/A","9","Cadre","Conformément à sa mission et à sa vision, l'école de commerce ICN valorise l'ouverture, l'engagement et l'esprit d'équipe du corps enseignant, du personnel et des étudiants. L'école compte 3 000 étudiants, un corps professoral international de plus de 80 professeurs, plus de 120 universités partenaires dans le monde et un vaste réseau d'entreprises. Elle propose un large éventail de programmes, dont un bachelor et un MSc en gestion, des masters spécialisés, un Executive MBA, un doctorat, ainsi que des programmes exécutifs non diplômants. Le poste pourra être basé à Paris ou à Nancy, des cours seront à dispenser sur les deux sites.   ICN attend de son corps professoral un engagement en faveur d'une recherche, d'un enseignement et d'un soutien aux étudiants de grande qualité. L'école offre une rémunération attrayante et un ensemble de mesures incitatives, en fonction du poste et des qualifications du candidat retenu. Des primes financières pour les publications dans des revues sélectionnées sont offertes.  Le/la candidat(e) idéal(e) pour ce poste a déjà acquis de l'expérience dans des postes de direction universitaire. Il/elle aura une expérience de l'enseignement et un intérêt marqué pour la recherche dans le domaine du marketing international, y compris l'import-export, les techniques commerciales internationales, etc. Le/la candidat(e) devra codiriger le département sur les trois campus, y compris la planification des ressources d'enseignement et l'attribution des cours, avec la perspective de prendre la responsabilité complète du département au bout d'environ 12 mois.  Il/elle doit viser l'excellence en matière de recherche, de préférence en lien avec les principaux thèmes de recherche de l'école, et enseigner à des publics multiples (licence, master, formation continue) sur les différents campus et sites d'enseignement de l'école. Les candidats doivent également démontrer leur volonté d'innover dans la conception des cours, du matériel pédagogique et des méthodes d'enseignement, notamment numériques.  Pour ce poste, la maîtrise de l'anglais et du français est requise. En outre, nous attendons du/de la candidat(e) qu'il/elle devienne membre du laboratoire de recherche CEREFIGE.   Pour être nommé professeur associé F/H, les candidats doivent être titulaires d'un doctorat et avoir plusieurs années d'expérience professionnelle dans l'enseignement supérieur ou la recherche, avoir fait preuve d'excellence dans la recherche en publiant dans des revues de renommée internationale et avoir démontré la qualité de leur enseignement."
"Gestionnaire  données de base  et plan action marketing (H/F)","27 - Pacy-sur-Eure","27120","D1401","78","78.20Z","MIS","Annuel de 25000.0 Euros à 30000.0 Euros sur 12.0 mois","Temps plein","2 An(s)","N/A","6","Employé qualifié","Nous recrutons pour une longue mission d'intérim pour un de nos clients dans le domaine agroalimentaire un(e) gestionnaire données de base et plan d'action marketing. Sous la responsabilité du responsable planification commandes export, vous aurez pour mission :  - maintenir à jour les données de base, - assurer la mise en oeuvre des plans d'actions marketing PAM, - assister le responsable ordonnancement, - suivre les OF et le dossier de fabrication.   BAC +2 avec une expérience en administration ou expéditions. connaissance SAP"
"DIRECTEUR MARKETING & COMMUNICATION (H/F)","76 - Rouen","76000","E1109","70","70.22Z","CDI","N/A","Temps plein","10 An(s)","N/A","9","Cadre","Vous êtes passionné(e) par le marketing stratégique et la communication au service d'une entreprise innovante et internationale ? Vous souhaitez piloter des projets à forte valeur ajoutée dans un environnement technologique exigeant ?  Reconnu comme un acteur de premier plan dans les industries de pointe, notre client développe des solutions technologiques de haute performance, adaptées aux besoins des secteurs exigeants. Fort d'une présence internationale, l'entreprise s'illustre par son engagement constant en faveur de l'innovation et de l'excellence, répondant ainsi aux exigences des marchés d'aujourd'hui et anticipant les défis de demain.  Pour accompagner sa croissance et renforcer son positionnement, nous recherchons son/sa Directeur(trice) Marketing & Communication.  En tant que Directeur(trice) Marketing & Communication, vous jouez un rôle stratégique dans le rayonnement de l'entreprise et de ses solutions sur les marchés mondiaux.  Vos principales missions : - Définir et piloter la stratégie marketing et communication globale pour renforcer l'image de marque, la notoriété, et soutenir les ambitions commerciales de l'entreprise. - Manager une équipe de 10 collaborateurs par l'animation, la motivation et l'accompagnement de leur développement dans une perspective d'excellence opérationnelle. - Superviser la stratégie digitale et les outils de communication pour maximiser l'impact sur les canaux en ligne (site web, réseaux sociaux, campagnes publicitaires..). - Concevoir des campagnes marketing et communication pertinentes à l'aide de supports adaptés, en étroite collaboration avec les équipes commerciales et R&D. - Analyser les marchés et les tendances pour identifier les opportunités de croissance et ajuster les actions marketing en conséquence.  Pourquoi répondre à cette offre ?  Vous souhaitez rejoindre une entreprise où l'innovation, la qualité et l'excellence sont des valeurs fortes. Vous aspirez à un poste stratégique, combinant vision globale, gestion opérationnelle et collaboration étroite avec les équipes dirigeantes. Vous avez à cœur de développer des initiatives marketing créatives et impactantes dans un environnement technologique exigeant et compétitif. Votre expérience :  Vous justifiez d'une expérience confirmée 8 à 10 ans minimum, dans un poste similaire en environnement industriel ou technologique. Vous avez une solide expertise en stratégie marketing, communication digitale et gestion d'équipes. Vous êtes reconnu(e) pour votre créativité, votre esprit analytique et vos capacités à piloter des projets ambitieux. Vous maîtrisez l'anglais courant, indispensable pour évoluer dans un contexte international. La maîtrise d'autres langues serait un plus. Poste basé au siège à proximité de Rouen (76), avec des déplacements ponctuels à prévoir.  Rejoignez une entreprise à la pointe de l'innovation et contribuez à son rayonnement à l'échelle mondiale. Partagez votre ambition et vos motivations en postulant dès maintenant."
"Responsable marketing  (H/F)","42 - MONTBRISON","42600","M1705","79","79.90Z","CDI","N/A","Temps plein","3 An(s)","Bac+3, Bac+4 ou équivalents","6","Employé qualifié","Missions 1. Garantir l'atteinte des objectifs du pôle « Marketing » et en assurer le suivi 1.1. Pilotage de l'activité :   Veille concurrentielle   Veille et prospective relatives aux nouvelles approches de communication et de marketing  Définition de la stratégie, du plan d'actions et du budget associés, y compris avec les autres acteurs du tourisme, et en lien avec la direction   Evaluation de l'activité (contrôle des taux de conversion, définition d'indicateurs, réalisation des évaluations annuelles ou pluriannuelles selon les projets)   Reporting   Cette responsabilité s'applique à l'ensemble de missions portées par le service :  - Communication et promotion via l'ensemble des médias : digital, print, campagnes publicitaires, presse, salons et évènementiel - Photothèque et vidéothèque  - Valorisation et diffusion de la marque RDV en Forez - Offre à destination des SP : partenariats, place de marché, accompagnement à la communication - Commercialisation groupe  1.2. Coordination quotidienne avec l'ensemble des responsables de services pour assurer la transversalité nécessaire à la réalisation des missions  1.3. Arbitrage stratégique concernant les mobilisations sur les salons (et pilotage de la mobilisation des équipes sur ces salons)  1.4. Pilotage opérationnel de la stratégie médias (presse, télé, radio, influenceurs), avec appuis de l'équipe sur tout ou partie de la réalisation  1.5. Encadrement managérial d'une équipe de 5 personnes  Pilotage de l'organisation quotidienne du service (planning, animation de réunions)  Suivi managérial de l'ensemble de l'équipe : définition des objectifs et des feuilles de routes individuelles, réalisation des entretiens annuels, suivi du parcours professionnel et de formation   Suivi et validation des congés  2. Contribution au sein de l'équipe de Direction à la définition des orientations stratégiques de l'office de tourisme de Loire Forez  - Participer aux sessions de travail trimestrielles inter services et pilotées par la direction de l'OT - Être force de proposition   3. Représentation de l'Office de Tourisme en toute circonstance requise (seul.e ou à plusieurs) : commissions, réunions partenariales, salons ... etc.  4. Pilotage et/ou participation à des dossiers spécifiques ou actions transversales : - Projets multi-partenariaux sur lesquels l'OT peut être porteur ou contributeur (exemples : Vignoble et découvertes, Destination Grand Air ...etc.)  - Actions / projets portés par Loire Forez agglomération Compétences requises Compétences techniques - Capacités managériales - Techniques de gestion de projet, reporting, analyse et rendu d'indicateurs - Gestion de budget - PAO / rédaction de contenus / maîtrise orthographique / sensibilité graphique et maîtrise des outils associés - Maîtrise des outils digitaux et de leur environnement, de la construction à la diffusion - Connaissances des médias thématiques et généraux et de leur portée - Connaissance des institutions du tourisme et de leur fonctionnement - Animation de groupe - Pratique de l'anglais Compétences humaines - Rigueur, organisation - Esprit d'initiative et autonomie - Sens relationnel - Dynamisme et enthousiasme - Goût pour le challenge  Avantages : tickets restaurant, télétravail possible  Travail ponctuel le week-end et jour férié Date de prise de poste : dès que possible  Pour Postuler : envoyer C.V. et lettre de motivation  Fin des candidatures : le 31 janvier 2025 Entretien le 19 février 2025 "
"Chargé(e) de Marketing et Communication (H/F)","35 - RENNES","35000","E1112","85","85.59A","CDI","Mensuel de 2800.0 Euros sur 12.0 mois","Temps plein","5 An(s)","N/A","8","Agent de maîtrise","Objectifs du poste :  La chargée de marketing et communication est responsable de la conception et de la mise en œuvre de la stratégie marketing et communication de l'IBEP, dans le but de renforcer la notoriété de la marque et de chacun des 7 campus, d'attirer de nouveaux apprenants, de promouvoir les différentes formations proposées pour contribuer au développement économique. Elle travaille en étroite collaboration avec la direction (DG, directeur CFA.), le/la responsable commercial régional, les responsables de chaque campus pour valoriser la vie de leurs campus.  Missions: 1. Stratégie Marketing : - Élaborer et déployer la stratégie marketing en lien avec les objectifs de croissance de l'IBEP  - Concevoir des plans d'actions pour : o attirer des candidats (étudiants, adultes en reconversion, demandeurs d'emploi..) aux différents dispositifs et formations  o en soutien de la responsable commerciale Région, développer la notoriété des formations auprès des entreprises du territoire par toute action marketing/communication adaptée - Valoriser les contenus et la présentation de l'offre de formation en lien avec le/a responsable commerciale et les équipes pédagogiques  - Développer des outils et supports de marketing digital et print (brochures, affiches, newsletters, contenus de site web, etc.) et construire un catalogue de formation attractif annuel. - A l'aide d'indicateurs, suivre, mesurer l'impact des actions marketing (SEO, SEA, campagnes publicitaires, réseaux sociaux.), proposer des ajustements si nécessaires et présenter vos résultats en CODIR - Renforcer l'« expérience utilisateurs » sur le site internet  - Gérer le budget marketing/communication et assurer un suivi rigoureux des dépenses. - Veiller à la bonne mise à jour (et respect de notre charte) des plateformes de référencement et auprès des prescripteurs de notre offre de formation et nos événements (GREF, Cap Emploi, France Travail.), en lien étroit avec le responsable administratif et financier - Assurer une veille dans son domaine et proposer des innovations. - Avec la direction générale et le/la responsable commercial-e, mettre en place un outil CRM : o Structurer et segmenter les bases de données en lien avec le/la responsable commercial o Former les équipes commerciales à l'outil avec le responsable commercial o Utiliser les outils du CRM et de marketing automation pour le suivi des contacts et la gestion des campagnes marketing 2. Communication : - Définir et piloter la stratégie de communication de l'IBEP  - Travailler en étroite collaboration avec le/la responsable commerciale sur les événements (salons, journées portes ouvertes, webinaires, visites) pour promouvoir l'IBEP et ses formations. Créer des supports de communication adaptés et de s'assurer de la bonne disponibilité pour les équipes commerciales - Identifier et animer un réseau de référents communication sur chaque campus. - Animer et développer les communautés sur les réseaux sociaux (Facebook, Instagram, LinkedIn) en créant des contenus engageants et élaborer un calendrier éditorial mensuel en veillant à valoriser chaque campus - Rédiger et diffuser les communiqués de presse et les newsletters - Gérer les relations presse et développer des partenariats avec des médias locaux 3. Gestion de la Marque : - Veiller à la cohérence de l'image de marque et du positionnement de l'IBEP - S'appuyer sur les ambassadeurs IBEP (candidats, stagiaires, alumni, prescripteurs.) - Assurer la mise à jour et l'optimisation du site internet en termes de contenu et de référencement naturel (SEO), constituer une banque d'images - Proposer des améliorations pour accroître la visibilité de l'IBEP sur le plan régional - Conduire le projet de refonte de l'identité de marque en lien avec une agence - Veiller à la e-réputation et à la marque employeur (avis google, réseaux sociaux)"
"Responsable commercial et marketing (H/F)","974 - ST PAUL","97411","M1707","64","64.20Z","CDI","Mensuel de 2500.0 Euros sur 12.0 mois","Temps plein","2 An(s) - en commercialisation CHR","N/A","6","Employé qualifié","Vous rêvez de rejoindre une équipe dynamique, travailler dans un endroit idyllique. Ne cherchez plus, votre chance est là !   Nous recherchons un(e) responsable commercial(e) et marketing pour intégrer notre équipe.  Profil ayant impérativement déjà travaillé dans la restauration  Votre rôle:  - Définir et mettre en application une politique commerciale afin d'accroître le CA commercial de nos établissements - Vous êtes en charge de la commercialisation des prestations des différents établissements du groupe et vous devez mettre en place des actions commerciales - Identifier, cibler et contacter de nouveaux clients - Assurer le suivi clients et mettre en place des plans de fidélisation - Effectuer un reporting régulier à la direction (clients, rendez-vous...) - Etablir la stratégie commerciale et tarifaire - Analyser et suivre les données clients - Analyser les ventes et les opérations commerciales - Suivre quotidiennement les réservations avec la direction et la personne en charge des réservations - Rétablir une veille sectorielle et concurrentielle pour identifier les enjeux et les segments, et faire apparaître nos enseignes à travers les événements. - Elaborer le plan marketing et contrôler le déploiement des opérations. - Elaborer et suivre les éléments du budget marketing, des devis et des facturations. - Concevoir les campagnes promotionnelles des produits et les mettre en oeuvre. - Concevoir et tenir à jour les supports de promotions des prestations et produits ainsi que de nos cartes et vérifier l'application. - Réaliser le bilan des actions marketing et proposer des axes d'évolution. - Apporter un appui technique aux directeurs des établissements lors des plans d'actions commerciales. - Atteindre les objectifs fixés par la direction.  Prêt(e) à faire la différence, postulez maintenant! Merci de nous transmettre cv et lettre de motivation,"
"Assistant(e) Marketing et Réseaux (H/F)","73 - FLUMET","73590","M1705","73","73.11Z","CDI","N/A","Temps plein","Débutant accepté","Bac+2 ou équivalents","6","Employé qualifié","Le poste est celui d'assistant(e)  Marketing et Réseaux sous l'autorité du Directeur  de notre société MONTAGNOTEL à Flumet , 5 km de Megève . La société MONTAGNOTEL est déjà propriétaire d'un hôtel à FLUMET , l'hôtel MONTBLANC ,  doté de  de 30 chambres , restaurant , bar . La société MONTAGNOTEL recherche à pourvoir le poste Marketing et Réseaux  chargé de promouvoir l'hôtel , rechercher toutes clientèles sur les réseaux , manager le site internet  . Le poste nécessite un niveau BAC+2 minimum en Marketing , avec si possible connaissance en digital et développement web  . Le poste est envisagé en alternance apprentissage ou professionnalisation pour aller vers licence  ou Master , le poste étant appelé à évoluer dans un an vers la responsabilité du service Marketing  et Communication de plusieurs de nos activités sur la région."
"Responsable Communication, Animation et Marketing.  (H/F)","35 - PLECHATEL","35470","E1109","47","47.11F","CDI","N/A","Temps plein","2 An(s) - Communication, marketing","Bac+5 et plus ou équivalents","8","Agent de maîtrise","CAP KOAD, Shopping Park à ciel ouvert sur la commune de Pléchatel/Bain de Bretagne, recherche pour accompagner son développement, son futur Responsable Communication, Animation et Marketing.   Rattaché(e) aux Responsables du site, vos missions principales seront les suivantes :  - Garant du bon fonctionnement du site : être le contact référent des locataires et de leurs directeurs, gestion des cellules et de leurs entretiens. - Garantir l'image de marque du Shopping Park en déployant des actions marketing, des opérations évènementielles, des jeux concours, sponsorings et partenariats.   - Piloter la création et la publication des contenus, en lien avec une agence de communication afin d'optimiser la visibilité du Shopping Park - Concevoir, réaliser et suivre le calendrier des animations annuelles : grandes thématiques annuelles fêtes des pères, des mères, Pâques, Noël., mais également de la création. - Suivi du budget annuel pour le bon déroulement du site, gestion des devis/facturations, appels d'offres, négociations prestataires et contrats - Organiser les réunions des commerçants : Présenter les bilans des actions menées  - Etre en veille sur la concurrence et les best-practices du secteur - Contribuer et être force de proposition dans tous les projets pouvant optimiser l'efficacité de service  Poste à pourvoir rapidement - CDI Forfait Jour Salaire selon expérience. Issu(e) d'une formation en école de Communication/Marketing/ Ecole de Commerce, vous possédez une première expérience professionnelle dans le domaine. Vous êtes reconnu(e) pour votre sens du relationnel, votre créativité, votre curiosité et votre investissement. Le poste est fait pour vous ! Alors n'attendez plus, adressez-nous votre candidature ! "
