"intitule","lieuTravail.libelle","lieuTravail.codePostal","romeCode","secteurActivite","codeNaf","typeContrat","salaire.libelle","dureeTravailLibelleConverti","experienceLibelle","formations.niveauLibelle","qualificationCode","qualificationLibelle","description"
"Data scientist (H/F)","57 - Metz","57000","M1405","78","N/A","MIS","Horaire de 23.5 Euros sur 12.0 mois","Temps plein","Débutant accepté","N/A","2","Ouvrier spécialisé","Manpower METZ TERTIAIRE recherche pour son client, un acteur du secteur de l'Electricité et du Gaz, un Data scientist (H/F)   -Assister les experts en charge de livrer les prestations du logiciel sur les domaines offre / facturation ;  -Participer aux recettes internes / collaboratives des prestations industrialisées ;  -Gérer et livrer en autonomie des prestations unitaires ;  -Etablir occasionnellement des scripts SQL.      -Vous avez un bac 5 dans un domaine scientifique (informatique, mathématique, statistique, automatisme.) master ou école d'ingénieur (requis) ;  -Vous avez une bonne capacité d'analyse, vous êtes curieux et avez envie de découvrir. Vous avez un bon relationnel et un bon esprit d'équipe. Fiable, vous savez gérer les priorités ;  -Maîtrise du pack Office ;  -Bonus: Vous avez une expérience en test logiciel et connaissez le langage SQL.    Mission longue entre 12 et 18 mois, sur Metz  Rémunération de 23,50 euros brut par mois    Vous vous reconnaissez dans ce profil? N'hésitez pas à postuler !"
"Consultant Business Analyst Data (H/F)","LUXEMBOURG","N/A","M1806","62","N/A","CDI","Mensuel de 4850.0 Euros à 5000.0 Euros sur 12.0 mois","Temps plein","4 An(s)","N/A","6","Employé qualifié","Nous, c'est UFO² Consulting  Cabinet de Conseil en IT et Organisation.  Notre objectif est de faciliter la vie de nos clients en leur mettant à disposition des outils digitaux ou des expertises méthodologiques et technologiques afin de simplifier leur business quotidien.  Notre ambition est grande et nous recherchons en permanence des êtres venus d'ici et d'ailleurs pour nous accompagner dans notre aventure.  Dans le cadre de notre croissance et pour répondre aux nouveaux besoins de nos clients, nous cherchons à étoffer nos équipes en intégrant un Consultant Business Analyst Data pour rejoindre notre équipe dynamique.    Missions Principales - Concevoir et mettre en œuvre des flux de données et des tableaux de bord qui offrent une valeur ajoutée et des insights pertinents - Rédiger les spécifications fonctionnelles - Collaborer avec les différentes parties prenantes pour identifier et comprendre leurs besoins en matière de données - Communiquer les résultats de manière engageante et accessible, facilitant ainsi la prise de décision - Suivre l'avancement des projets, assurer la coordination entre les équipes techniques et métiers - Préparer et animer des réunions de suivi de projet en anglais - Participer à la validation des livrables.  Compétences Techniques - Connaissance en requêtage SQL - Connaissance des outils BI (Type PowerBI) - Connaissances des outils de Dashboarding BI et des outils de gestion de projet.  Profil Recherché - Bac+ 5 en Diplôme en gestion, informatique, ingénierie, ou domaine connexe. - Expérience minimum de 4 ans en tant que Business Analyst Data dans l'industrie Assurance/Banque - Excellente communication (travail en équipe) et capacité à interagir avec des parties prenantes variées - Capacité à gérer des projets de manière autonome et efficace - Capacité à animer des réunions en anglais avec les parties prenantes  - Niveau C1/C2 requis en anglais tant à l'écrit qu'à l'oral.  Si vous êtes passionné(e) par l'univers des données et désireux(se) de relever des défis stimulants au sein d'une équipe collaborative, nous serions ravis de recevoir votre candidature !"
"Data Engineer Expert Microsoft (H/F)","67 - Strasbourg","67000","M1811","62","N/A","CDI","Annuel de 40000.0 Euros à 55000.0 Euros sur 12.0 mois","Temps plein","Débutant accepté","N/A","6","Employé qualifié","En tant que Data Engineer expert des outils Microsoft, vous serez au cœur de projets stratégiques autour des données et de l'intelligence artificielle pour nos clients.  Vous interviendrez sur toutes les étapes de la gestion des données, de la conception à la restitution, en tirant parti des technologies et services de l'écosystème Microsoft Azure et Power BI.   Vos missions principales :  - Concevoir, construire et maintenir des pipelines de données robustes et évolutifs avec les outils Microsoft Azure (Data Factory, Data Lake, Synapse Analytics, etc.). - Migrer et optimiser des tableaux de bord Power BI en veillant à la qualité et à la performance des traitements. - Mettre en place des chaînes de déploiement et des processus CI/CD conformes aux meilleures pratiques de Power BI et des services Azure. - Analyser les besoins métiers et techniques des clients pour concevoir des modèles de données adaptés et optimisés. - Élaborer et documenter les architectures Cloud Data exploitant efficacement les services managés d'Azure. - Assurer la qualité, la gouvernance et la sécurité des données tout au long des projets. - Former les utilisateurs, corriger les bugs existants et garantir le support post-déploiement. - Réaliser une veille technologique sur les nouveautés Microsoft (Fabric, Azure ML, Azure AI Services, etc.) et les intégrer dans des solutions innovantes.   Le profil que nous recherchons :  - Vous êtes diplômé(e) d'une école d'ingénieurs ou d'une formation universitaire en informatique, avec une spécialisation en données ou intelligence artificielle. - Vous justifiez d'au moins 3 ans d'expérience professionnelle (ou plus) dans l'ingénierie des données et les solutions Cloud, idéalement dans l'environnement Microsoft Azure. - Vous maîtrisez les technologies suivantes :   Microsoft Azure Data Services : Azure Synapse, Azure Data Factory, Data Lake, SQL Database.  Visualisation et analyse : Power BI, DAX, Microsoft Fabric.  Transformation de données à grande échelle : Azure Databricks, Spark. - Vous avez une excellente capacité d'analyse, un bon relationnel, et êtes reconnu(e) pour votre rigueur et votre autonomie. - Une certification Microsoft dans les domaines Data ou AI est un atout majeur.   Vos atouts personnels :  - Vous êtes curieux(se), passionné(e) par l'écosystème Microsoft et les nouvelles technologies. - Vous savez travailler en équipe tout en étant capable de réfléchir et d'agir en toute autonomie. - Vous êtes pédagogue et aimez transmettre vos connaissances à vos collaborateurs et clients. - Vous recherchez des défis techniques stimulants et souhaitez contribuer à l'évolution des projets autour des données.  Ce que nous vous proposons : - Rejoindre une équipe dédiée aux technologies Microsoft avec une forte culture d'innovation. - Participer à des projets à forte visibilité et impact, en partenariat avec Microsoft et des clients prestigieux. - Développer vos compétences à travers des formations personnalisées, des certifications Microsoft et une dynamique d'apprentissage continue. - Évoluer dans un environnement de travail flexible et bienveillant, avec des avantages attractifs :  Contrat CDI basé à Strasbourg, d'autres sites en France ou full remote Avantages sociaux : Tickets resto, mutuelle d'entreprise"
"Lead Data Engineer/Architect (H/F)","86 - CHASSENEUIL DU POITOU","86360","M1811","82","N/A","CDI","N/A","Temps plein","3 An(s)","N/A","9","Cadre","À propos de nous  Emil Frey France, leader européen de la distribution automobile, place la donnée et l'innovation au cœur de sa stratégie. L'équipe Data & Innovation, actuellement en pleine construction, est essentielle pour répondre aux ambitions du groupe : valoriser la donnée, accélérer l'adoption des technologies d'intelligence artificielle, et relever les défis d'un secteur concurrentiel et en constante évolution.  Nous vous proposons un environnement stimulant et entrepreneurial, où tout est à construire, avec des moyens à la hauteur de nos ambitions et un fort soutien du top management.   Votre mission  En tant que Lead Data Architect, vous serez responsable de piloter et orienter les choix techniques et architecturaux de notre écosystème data, tout en assurant le bon déroulement des traitements opérationnels. Vous devrez garantir la qualité des livraisons, dans le respect des délais et en alignement avec les enjeux métiers stratégiques du groupe. Vous préparerez également l'équipe pour évoluer vers des compétences en machine learning engineering, en vue d'accueillir les premiers cas d'usage IA dès mi-2025.  Par votre expertise technique et votre leadership, vous jouerez un rôle essentiel dans la structuration de l'équipe Data & Innovation, en étroite collaboration avec les 4 autres pôles : Data Quality, Data Analytics, Data Science & Data Strategy.  Vos principales responsabilités :  1. Enjeux techniques et architecturaux :  Piloter les choix d'architecture data et de traitements pour garantir robustesse, scalabilité et évolutivité. Concevoir et optimiser des pipelines de données dans un environnement moderne (Talend, Snowflake). Assurer la mise en œuvre des meilleures pratiques pour le traitement, le stockage, et la sécurisation des données.  2. Machine Learning Engineering :  Préparer l'évolution de la stack technologique et des compétences de l'équipe pour accueillir les premiers cas d'usage IA dès mi-2025. Travailler en étroite collaboration avec les équipes Data Science pour anticiper les besoins techniques des projets IA. Équilibrer les enjeux techniques, humains et organisationnels pour garantir une transition fluide et efficace.  3. Management et organisation :  Superviser l'équipe de Data Engineering interne et externe et renforcer les synergies. Développer les compétences des collaborateurs et accompagner leur montée en puissance. Assurer une collaboration fluide avec les équipes Data Science, Data Analysis et les autres parties prenantes internes. Mettre en place une méthodologie de travail rigoureuse pour garantir des livrables de qualité dans les délais impartis.  4. Collaboration et amélioration continue :  Être le point de contact entre les équipes métiers, techniques, et la DSI pour traduire les besoins en solutions opérationnelles. Identifier et implémenter des opportunités d'amélioration continue dans l'écosystème Data.   Rémunération : à partir de 60 K€ par an. Nous investissons dans les talents qui nous inspirent : rémunération et responsabilités définies à adapter en fonction des compétences, de l'expérience et du potentiel du candidat.   Profil recherché  Formation et expérience : Diplôme Bac+5 en informatique, data engineering et gestion infrastructure, ou équivalent, avec une expérience significative en gestion de projets techniques, architecture data, et management d'équipes.  Compétences techniques :  Expertise avancée en pipelines de données, ETL/ELT (Talend). Maîtrise des environnements Cloud et Data Warehousing (Snowflake). Expérience concrète en machine learning engineering, avec la capacité d'intégrer et d'industrialiser des cas d'usage IA. Maîtrise des langages Python et SQL.  Qualités humaines :  Leadership naturel et capacité à motiver une équipe. Culture du résultat et capacité à gérer des projets dans des environnements exigeants. Excellentes compétences relationne"
" Chef de projet Data achats F/H","91 - EVRY COURCOURONNES","91000","M1811","30","N/A","CDI","N/A","Temps plein","2 An(s)","Bac+5 et plus ou équivalents","9","Cadre","Au sein de l'équipe Data de la Direction des Achats, la mission du Chef de projet Data achats consistera à intervenir sur toutes les phases du cycle de vie d'un projet data (Prise de besoin métier, Proof of Concept, industrialisation).  Les activités détaillées du Chef de projet Data achats seront: - Comprend les enjeux métiers achats et recueille les besoins utilisateurs en terme de pilotage d'activité, de leviers de performance, d'indicateurs et de fourniture de données. - Identifie, modélise et structure les données pour faciliter les analyses. - S'assure que les bases de donnée couvrent les besoins d'analyse et développe les pipelines pour préparer et prétraiter les données efficacement - Définit et sélectionne les solutions informatiques et/ou programmations les plus adaptées à la politique informatique et répondant aux besoins des utilisateurs. - Organise la veille des développements de data management les plus récents. - Pilote les projets de création des visualisations de données, des tableaux de bord, et KPI de la Direction Achats - Organise le support associé - Pilote les extractions de données achats et assure l'administration du pool d'extractions existantes - Conseille les métiers dans l'utilisation des extractions de données achats. - Collabore aux projets d'amélioration de l'analyse et l'exploitation des données - Contribue aux projets pour la partie achats en étroite collaboration avec les experts métiers du SI, les métiers de la data et la DSI - Participe à la définition de la stratégie des Datas avec le Chief Data Officer  Le Chef de projet Data achats contribuera également à l'amélioration continue au sein de l'équipe Data. Diplôme d'un BAC+5, vous disposez d'une première expérience en gestion de projets et/ou gestion des données SI.  Vous disposez également des capacités suivantes : - Communication et capacité d'adaptation aux différentes problématiques métiers - Capacité d'analyse - Une maîtrise de Python et PowerBI serait très appréciée - Une maîtrise des Systèmes d'Information Achats serait un plus   "
"Data Analyst (H/F)","78 - BOIS D ARCY","78390","M1403","45","N/A","CDI","N/A","Temps plein","5 An(s)","Bac+5 et plus ou équivalents","9","Cadre","Rejoignez notre département Networks, au cœur de l'accompagnement des constructeurs automobiles dans l'optimisation des réseaux de distribution. Rattaché/e au Pôle Solutions Digitales et Innovation, vous interviendrez en tant que Coordinateur/rice Solutions Digitales H/F, en support à la production et dans la gestion de prestations de services variées : Conseil, Audit et Formation auprès de nos clients.  Votre rôle ?  En tant que Data Analyst, vous occuperez un poste hybride entre le centre de formation de notre client à Bois d'Arcy (78) et nos locaux du Plessis-Robinson (92). Vous serez en charge de la gestion des données pour soutenir le déploiement des formations destinées aux équipes après-vente du réseau de notre client, tout en accompagnant votre équipe sur diverses prestations.  Vos missions ?  - Business Intelligence (Power BI) :  - Analyser les besoins BI, intégrer et mettre à jour les données - Développer, maintenir et améliorer les reportings (Power BI) en maîtrisant les langages DAX et M - Assurer le support opérationnel et évaluer le temps nécessaire à la réalisation des projets BI.  - Automatisation des process (Power Automate) : - Identifier, développer et maintenir des processus automatisés  - Développement d'Interfaces Utilisateurs (Power App) - Concevoir, maintenir et faire évoluer des interfaces utilisateurs sur Power App  - Gestion de projet digital : - Recueillir et spécifier les besoins clients - Sélectionner les solutions appropriées, planifier le temps, les tâches et accompagner le déploiement des projets - Accompagner les utilisateurs dans l'appropriation des différents outils et documenter les processus  Profil :  Vous êtes diplômé/e d'une formation Bac+5 (École d'Ingénieur, École de Commerce, Master) spécialisée en gestion de projet digital, analyse de données ou domaines similaires réalisée en alternance ou lors d'un stage de fin d'études complétée d'une expérience significative incluant des missions de gestion de projet, et avez développé de solides compétences en nouvelles technologies et digital.  Vous maîtrisez parfaitement les outils O365 et êtes expert(e) en Power BI, Power Automate et Power Apps. Vous êtes certifié/e Power Platform (Power BI, Power Automate, Power Apps). Vous êtes capable d'identifier et de spécifier les besoins BI, d'intégrer et de mettre à jour les données, tout en assurant la mise en production et la maintenance des reportings. Vous maîtrisez les langages DAX et M.  Vous avez un fort sens du service client et êtes capable de coordonner un projet dans sa globalité, de la définition du cahier des charges à la livraison, en passant par la conception, le pilotage et le suivi client.  Autonome et adaptable, vous accordez une attention particulière aux détails dans vos analyses et productions.  La maîtrise de l'anglais, ainsi qu'une expérience ou une connaissance du domaine de la formation et/ou du secteur automobile, constitueront des atouts supplémentaires.  Informations complémentaires : Cadre au forfait 218 jours / an"
"Data engineer (H/F)","92 - LEVALLOIS PERRET","92300","M1811","62","N/A","CDI","Annuel de 50000.0 Euros sur 12.0 mois","Temps plein","3 An(s)","Bac+5 et plus ou équivalents","6","Employé qualifié","Nous recherchons un(e) Data Engineer talentueux(se) pour rejoindre notre équipe Data et jouer un rôle clé dans la conception, la construction et la maintenance des infrastructures nécessaires à la collecte, au stockage, à la transformation et à l'analyse des données de l'entreprise. Vous collaborerez avec des data scientists, chefs de projet data et équipes métiers pour garantir la qualité et la disponibilité des données au sein de l'organisation.  Vos missions principales :  Conception et Développement de Pipelines de Données : -Concevoir, développer et déployer des pipelines de données pour collecter, traiter et transformer des données provenant de diverses sources (ERP, CRM, IoT, capteurs sur chantiers, etc.). -Assurer l'ingestion, la transformation et le nettoyage des données dans un Data Lake ou Data Warehouse. -Automatiser les processus pour garantir des flux de données fiables et sécurisés.  Gestion et Maintenance de l'Infrastructure Data : -Participer à la mise en place et à la gestion des infrastructures cloud (AWS, Azure, Google Cloud) pour le stockage et le traitement des données. -Assurer la disponibilité et la performance des plateformes de données (bases de données, Data Lake). -Surveiller et optimiser les performances des systèmes de stockage et de traitement des données.  Qualité et Sécurité des Données : -Mettre en œuvre les pratiques de gouvernance des données pour garantir leur qualité, leur conformité (RGPD) et leur sécurité. -Effectuer des contrôles de qualité pour détecter et corriger les anomalies de données. -Collaborer avec les équipes de sécurité pour garantir la protection des données sensibles.  Support aux équipes Data Science et BI : -Collaborer avec les équipes Data Science pour préparer les jeux de données nécessaires à la modélisation et à l'analyse. -Optimiser les requêtes et modèles de données pour faciliter l'analyse et la visualisation (ETL/ELT). -Accompagner les équipes BI dans la conception de tableaux de bord et rapports à partir des données.  Veille Technologique et Innovation : -Se tenir informé des dernières tendances et évolutions en matière de Data Engineering et des outils associés. -Proposer des solutions innovantes pour améliorer les architectures de données existantes et répondre aux besoins des métiers. -Participer à des projets de R&D pour explorer de nouvelles approches en matière de stockage et de traitement des données.  Votre profil : Formation : Bac+4/5 en informatique, data engineering, data science ou équivalent. Expérience : Minimum 3 ans d'expérience en tant que Data Engineer, idéalement dans les secteurs de la construction, de l'énergie, ou de la promotion immobilière.  Compétences techniques : Maîtrise des langages de programmation tels que Python, SQL, Scala. Expérience avec des Frameworks de traitement de données. Connaissance des solutions cloud (Azure Synapse) et gestion des données cloud. Compétence en modélisation de données (schémas, Data Marts), transport et transformation des données. Bonne compréhension des systèmes de bases de données relationnelles et NoSQL.  Qualités personnelles : Proactivité, autonomie et sens de l'innovation. Capacité à travailler dans un environnement dynamique et à collaborer avec des profils techniques et non techniques. Esprit analytique, rigueur et attention aux détails. Capacité à vulgariser des concepts techniques pour les rendre accessibles aux équipes non techniques.  Avantages : Environnement stimulant avec une forte culture d'innovation. Projets à la pointe des technologies liées à la Data et l'Intelligence Artificielle. Opportunités de développement professionnel et de formation continue."
"Data analyst (H/F)","69 - VILLEURBANNE","69100","M1403","62","N/A","CDI","Annuel de 25000.0 Euros à 35000.0 Euros sur 12.0 mois","Temps plein","Débutant accepté","N/A","9","Cadre","À propos Qui sommes-nous ?  Nous sommes passionnés par les nouvelles technologies, et vous ?   Rejoindre Amiltone, c'est intégrer des équipes dynamiques et soudées dans le cadre de projets novateurs et ambitieux. Nous relevons les challenges techniques de nos clients et les accompagnons dans leur transformation digitale.  Pourquoi choisir Amiltone ?    Amiltone, plus qu'une entreprise, un état d'esprit !  Notre objectif ? Votre épanouissement professionnel !  Nous avons à cœur de :  Vous accompagner au mieux au travers d'un suivi personnalisé Vous faire monter en compétences en vous proposant des formations tout au long de votre carrière Comprendre vos besoins et respecter nos engagements Vous proposer des missions de qualité avec des technologies innovantes Cultiver votre potentiel grâce à notre programme de développement personnel Addvise   Votre bien-être passe aussi par des activités extraprofessionnelles, c'est pourquoi nous vous proposons des séances sportives animées par nos coachs, soirées pour se retrouver et Le poste Vos missions ?  Intégré à nos équipes sur nos projets en Factory ou chez nos clients vous interviendrez en tant que Consultant BI.  En tant que Consultant BI (H/F), vous assurez les missions suivantes :  Animation d'une équipe de professionnels de la Data sur toutes les étapes du traitement de la donnée.  Mise à jour permanente sur les technologies et langages utilisés dans le but de partager ses connaissances et aider à l'avancement du projet.  Technos utilisées :  - Environnement Azure - Databricks Profil recherché Profil ?  Alors ? Prêt à devenir Amiltonien ?  Diplômé Bac+5 (Master, école de commerce...), vous disposez d'au moins de 2 ans d'expériences (alternance comprise) dans le domaine de la data.  Vous aimez découvrir de nouveaux contextes fonctionnels et comprendre les objectifs d'es applications développées.  A l'aise dans une organisation agile, vous faites preuve de rigueur et appliquez les standards de qualité Amiltone.  Vous êtes à l'aise en anglais.  Outre vos compétences techniques, nous nous intéressons aussi à votre potentiel et votre motivation.  Nos postes sont ouverts aux personnes en situation de handicap."
"Data Engineer (H/F)","54 - Houdemont","54180","M1811","64","N/A","CDI","Mensuel de 35000.0 Euros à 40000.0 Euros sur 12.0 mois","Temps plein","1 An(s)","N/A","6","Employé qualifié","Spécialisé dans l'accompagnement sous toutes ses formes, le Groupe Mentor a pour vocation la création, la reprise ou la prise de participation au capital de sociétés dans le but d'en accélérer et d'en structurer le développement à horizons national et international.  Avec 7 principaux secteurs d'activité, 15 pays couverts et 2400 collaborateurs, le groupe est une véritable ruche de savoir-faire.  Sa filiale API TECH (créée en 2004) en fait partie intégrante depuis 2016. Elle est spécialisée en automatisme, électricité et informatique industrielle.  Depuis quelques années, API TECH prend un essor international dans le secteur de la Foodtech avec ses Smarts machines (distributeurs automatiques alimentaires de pizzas et de produits alimentaires).  Sa filiale Just Queen, est quant à elle spécialisée dans l'implantation de sites de production permettant la fabrication de pizzas de qualité afin de fournir ses distributeurs automatiques.  Nos distributeurs s'offrent aux gourmands jour et nuit. Nous nous engageons à rester à la pointe de l'innovation et à développer des produits et des solutions de qualité qui répondent aux besoins de nos clients.  Aujourd'hui, API Tech et sa filiale Just Queen ne cessent d'étendre leur marché.  Face au succès grandissant de nos équipements et à un développement international, nous cherchons à renforcer nos équipes avec un(e) Data Engineer  En tant que Data Engineer, vous serez responsable de la conception, de la construction et de la maintenance des infrastructures de données, surtout en l'absence d'un data architect. Vous veillerez à ce que les données soient facilement accessibles, de haute qualité et bien organisées pour répondre aux besoins des équipes d'analyse, des data scientists, ainsi qu'aux exigences transversales du groupe et de ses filiales.  Vos missions :  1- Conception et développement des pipelines de données  Construire et maintenir des pipelines ETL (Extract, Transform, Load)  Intégrer des données provenant de diverses sources (BDD, API, fichiers, etc)  2- Gestion des BDD  Configurer et gérer les bases de données relationnelles et NoSQL  Assurer l'optimisation et la performance des systèmes de stockage de données  3- Qualité et intégrité des données  Mettre en place des processus pour garantir la qualité, la cohérence et l'intégrité des données  Automatiser les processus de nettoyage et de transformation des données  4- Collaboration avec les équipes  Travailler en étroite collaboration avec les Data Scientist et Analyst pour comprendre leurs besoins en données  Supporter les équipes de développement en fournissant des solutions de gestions de données efficaces  5- Support  Surveiller les flux de données et résoudre les problèmes techniques  Maintenir et documenter les flux et l'infrastructure des données  Diplôme :   BAC+3/5  en Informatique, Ingénierie de la donnée, Mathématiques ou domaine connexe.  Vos compétences techniques :  Python, Java, Scala  Systèmes de gestion des BDD (SQL, NoSQL) MySQL, PostrgreSQL, MongoDB, Cassandra, Parquet  Outils d'ETL : NiFi, Talend, Informatica, etc  Big Data (Hadoop, Spark, Kafka)  Cloud ? (AWS, GCP, Azure)  Analytiques :  Capacité à comprendre et manipuler des ensembles de données complexes  Compétences résolution de problèmes et optimisation des flux de données  Communication :  Excellentes compétences en communication orale et écrite  Capacité à travailler en équipe et à collaborer avec des parties prenantes non techniques  Organisationnelles :  Gestion de projet et priorités simultanément  Attention aux détails et souci de la précision  Qualités personnelles :  Curiosité, désir d'apprendre, esprit analytique et rigoureux  Capacité à travailler en équipe et de manière autonome  Adaptabilité et flexibilité"
"Data Analyst (H/F)","92 - RUEIL MALMAISON","92500","M1403","46","N/A","CDI","Mensuel de 4600.0 Euros à 5700.0 Euros sur 13.0 mois","Temps plein","2 An(s)","N/A","9","Cadre","En tant que Tech Data Analyst chez GSK, vous serez responsable de comprendre et de soutenir le déploiement de solutions de reporting développées par diverses équipes mondiales d'analyse commerciales et médicales. Vous communiquerez les exigences et les problèmes locaux en matière de données et d'analyse aux équipes mondiales et collaborerez pour développer des solutions mondiales et mettre en œuvre des projets pilotes, y compris des solutions de ML et d'IA. Vous mettrez également en œuvre des solutions de reporting locales basées sur des cadres de données globaux selon les exigences de l'entreprise. Vous reporterez directement au Data & Analytics Solutions and Technology Manager au sein de l'équipe Tech Europe.  Vos missions :  Collaborer avec l'équipe mondiale et européenne pour valider et déployer de nouvelles solutions d'analyse, y compris des solutions basées sur le Machine Learning et l'Intelligence Artificielle. Déterminer les besoins opérationnels des principales parties prenantes et gérer efficacement les communications techniques et non techniques avec les interlocuteurs de l'entreprise Développer des user stories, des tableaux de bord et de solutions de reporting pour des projets commerciaux et médicaux. Intégrer et modéliser les données dans un business data semantic layer, en créant et en faisant évoluer cet élément clé pour permettre une exploitation cohérente et efficiente des données. Mettre en place une automatisation des sanity checks et une console d'administration, permettant aux data stewards de superviser l'intégration des données et de gérer les dimensions de manière autonome. Développer des scénarios de test, des cas de test et des critères d'acceptation, et identifier les opportunités de réutilisation des modèles de données existants dans l'environnement local. Surveiller et documenter les problèmes de production et les demandes de changement pour s'assurer qu'ils répondent aux besoins des utilisateurs finaux. Mettre en évidence les risques et les communiquer clairement aux équipes de direction et aux parties prenantes. Votre profil :  Bac+3/5 en informatique, en technologie de l'information, en data science, en data engineering ou dans un domaine connexe. Expérience pratique étendue en tant que Commercial Analyst et/ou Data Analyst dans des produits axés sur les données. Connaissance des outils de modélisation et de visualisation de données, de préférence Power BI. Excellente maîtrise des requêtes SQL (de préférence T-SQL). Expérience avérée dans l'exploitation des plateformes de données Cloud telles qu'Azure Data Lake, Synapse (SQL Datawarehouse) et Azure Databricks. Expérience de l'ingénierie des données et du codage dans les langages pertinents couramment utilisés dans l'analyse de données : Python, SQL, Scala, etc. Expérience avancée en Azure data stack : Databricks, API OpenAI, PowerAutomate, SQL DW. Expérience avec les frameworks et méthodologie projet Agile : Jira, Confluence, Azure DevOps, etc. Anglais : niveau avancé (TOEIC 800)"
