"intitule","lieuTravail.libelle","lieuTravail.codePostal","romeCode","typeContrat","salaire.libelle","dureeTravailLibelleConverti","experienceLibelle","formations.niveauLibelle","description"
"Charge de recrutement - stagiaire filiere technique ingenierie (H/F)","69 - LYON 06","69006","M1501","CDD","Horaire de 12.0 Euros sur 12.0 mois","Temps plein","Débutant accepté","N/A","Le poste : Tu souhaites réaliser un stage au coeur de Lyon ? Envie de participer à la chasse aux talents de demain ? Alors, cette aventure est faite pour toi ! Rejoins notre équipe lyonnaise et mets tes talents au service de la recherche des meilleurs profils techniques !   En tant que stagiaire Chargé(e) de Recrutement, tu seras au coeur de l'action, de la définition des postes à la sélection des candidats. Une expérience riche et formatrice t'attend !   Pour ce fait tes missions, si tu les acceptes :   - Diffuser et gérer les offres en ligne - Trier les CV et actualiser notre CV thèque - Rechercher et sélectionner les candidats (sourcing, base de données...) - Conduire des entretiens téléphoniques - Participer aux entretiens individuels et rédiger les comptes rendus finaux    Profil recherché : Tu veux découvrir le monde du recrutement ?  Tu es motivé(e) et doté(e) d'un bon sens du relationnel ?  Alors n'hésite pas à postuler, voici que nous t'offrons : - Un stage responsabilisant et formateur  - Une immersion totale dans le monde du recrutement avec un accompagnement personnalisé  - La possibilité de participer à des projets variés et de monter en compétences  - Un environnement de travail stimulant avec une équipe soudée  À très vite pour de nouvelles aventures !  Tous nos postes sont ouverts aux personnes en situation de handicap."
"Responsable Ingénierie Bureautique F/H (H/F)","92 - Courbevoie","92400","M1841","CDI","Mensuel de 3750.0 Euros à 4000.0 Euros sur 12.0 mois","Temps plein","3 An(s)","N/A","OGF, premier opérateur de services funéraires en France poursuit son développement : avec plus de 1100 agences et de 6000 collaborateurs sur tout le territoire : notre groupe répond aux besoins essentiels des familles en deuil en concevant et déployant les services, l'organisation et les infrastructures qui permettent de rendre un hommage unique aux défunts.    Le rôle du responsale ingénierie bureautique est essentiel dans notre organisation. Il est responsable de la qualité des devices délivrés aux utilisateurs, de son packaging logiciel, et des normes de sécurité associé. Son rôle central est de garantir que l'environnement de travail sur les périphériques utilisés par les collaborateurs soient stables, performants, sécurisés.     Il gère la maintenance, la sécurité, et le déploiement des masters des ordinateurs et des packages logiciels de l'entreprise. Il assure le support technique avancé et collabore avec d'autres départements pour optimiser l'efficacité des systèmes. Son rôle inclut la standardisation des configurations, la mise en œuvre de mesures de cybersécurité pour se protéger contre les menaces, et la documentation des procédures. Il assure enfin un support de niveau 3 vis-à-vis des utilisateurs finaux et des équipes techniques sur son périmètre technique.     Sous la responsabilité du Responsable de centre de services utilisateurs & digital Workspace, vos missions seront :    Gestion des environnements de poste de travail :    * Administration et maintenance : Responsable de l'administration et de la maintenance des systèmes d'exploitation Windows et/ou macOS, y compris la gestion des mises à jour et des correctifs de sécurité.    * Déploiement et configuration des applications sur les postes de travail.    * Suivi des mises à jour des indicateurs nécessaires et élaborer les processus et plans d'actions pour atteindre 100% des objectifs techniques ciblés.    Support de proximité :    * Support technique : Assurer un support technique direct aux utilisateurs pour les problèmes matériels et logiciels.      Gestion des incidents et des demandes :    * Traitement des tickets, documenter les incidents, les solutions et les procédures dans le système de gestion des tickets.    * Escalade des incidents complexes aux niveaux supérieurs si nécessaire.    Sécurité et conformité : Veiller à ce que les postes de travail soient conformes aux politiques de sécurité de l'entreprise et mettre en œuvre des mesures pour protéger les systèmes contre les menaces et vulnérabilités.    Optimisation et automatisation des performances : Identifier et mettre en œuvre des améliorations pour optimiser les performances des postes de travail et développer et maintenir des scripts d'automatisation pour simplifier les tâches récurrentes.    Documentation et formation : Rédiger et mettre à jour la documentation technique relative aux configurations et procédures et former les utilisateurs sur les nouvelles fonctionnalités et procédures.    Projets et innovation : participation aux projets d'évolution et de migration des infrastructures de poste de travail.     Bac+3 à Bac +5 (filière informatique impérative).    * Vous possédez une expérience professionnelle réussie dans le domaine de l'ingénierie du poste de travail    * Vous maîtrisez le MDM Intune et le scripting powershell impérativement)    * Vous possédez des connaissances sur la gestion unifiée des devices (Chiffrement, Sécurité du poste de travail, hardening, compliance, patching)    * Vous avez d'excellentes compétences rédactionnelles en français    * Vous possédez un excellent relationnel"
"Chargé (e) d'appui en ingénierie territoriale (H/F)","90 - LACHAPELLE SOUS ROUGEMONT","90360","K1802","CDD","N/A","Temps plein","10 An(s) - En aménagement du territoire","Bac+5 et plus ou équivalents","La commune de Lachapelle Sous Rougemont, recherche un(e) chargé(e) d'appui en ingénierie territoriale dans le cadre du dispositif ""volontaire territorial (e) en administration (VTA) -volet expertise"".  Les missions :  Diagnostic territorial et élaboration d'un projet de territoire : - Réaliser un diagnostic approfondi du territoire (analyse des forces, faiblesses, opportunités et menaces). - Identifier les besoins et priorités de la commune en matière de développement territorial (mobilité, environnement, urbanisme, développement économique, etc.). - Élaborer un projet de territoire stratégique en lien avec les élus locaux et les acteurs institutionnels et privés.  Recherche et mobilisation de financements : - Identifier les dispositifs de financements régionaux, nationaux et européens adaptés aux projets d'aménagement de la commune. - Rédiger des dossiers de demande de subventions et assurer leur suivi jusqu'à obtention. - Développer des partenariats avec les organismes de financement publics et privés (bailleurs de fonds, institutions européennes, fondations, etc.).  Appui à la coordination des projets d'aménagement : - Coordonner et suivre la mise en œuvre des projets d'aménagement identifiés dans le cadre du projet de territoire. - Collaborer avec les bureaux d'études, architectes et autres intervenants techniques. - Participer à la concertation avec la population locale, les partenaires institutionnels et les entreprises du territoire.  Appui stratégique et technique aux élus : - Apporter un conseil stratégique aux élus sur les enjeux territoriaux et d'aménagement. - Assister les élus dans la prise de décision et la priorisation des projets à mettre en œuvre.  Conditions du poste : Encadrement : Le/la VTA sera encadré(e) par le maire et l'adjoint référente et travaillera en étroite collaboration avec les élus locaux. Rémunération  : Rémunération selon grille indiciaire de la Fonction Publique Territoriale grade ingénieur indice brut 619.  Candidature :  Merci d'adresser votre candidature  (CV et lettre de motivation) à l'attention de Mr Le Maire de Lachapelle sous Rougemont, à l'adresse suivante : mairielachapelle-rougemont@wanadoo.fr Date limite des candidatures : 31 Janvier 2025   "
"Responsable ingénierie de la formation professionnelle (H/F)","Auvergne-Rhône-Alpes","N/A","K2111","CDI","Annuel de 52000.0 Euros à 58000.0 Euros sur 12.0 mois","Temps plein","8 An(s)","Bac+5 et plus ou équivalents","Rattaché(e) au directeur du Centre de Formation, vous animez, organisez et structurez les activités du secteur métiers de bouche (formations pâtisserie, boulanger, chocolat-confiseur, boucherie, traiteur..) et du secteur hôtellerie restauration (essentiellement cuisine et service en salle), ce qui représente environ 600 élèves du CAP au BTM.   Vos principales missions sont :  o Manager une équipe d'environ 35 permanents (enseignants, administratifs, coordinateur de secteur) en développant un climat de motivation et en mettant en œuvre les projets d'entreprise.  o Assurer le respect des pratiques, des approches et des méthodes dans un souci d'équité.  o Piloter l'organisation du travail notamment en assurant la distribution de la charge de travail à travers l'élaboration des emplois du temps des enseignants. o Assurer la coordination des enseignements et des épreuves d'examen.  o Assurer le suivi financier de votre activité ainsi que le suivi des investissements matériel et équipements du secteur.  o Assurer le suivi, sur la dimension pédagogique, des alternants et des entreprises signataires d'un contrat  o Être en charge du développement de nouveaux produits et/ou pédagogies  o Animez et développez des relations avec les organisations professionnelles, les grands comptes et les organisations institutionnelles.  De formation BAC+5 gestion/management, vous êtes reconnu(e) pour vos qualités de management d'équipes pluridisciplinaires et bénéficiez d'au moins 10 ans d'expérience dans un poste similaire (environnement d'enseignement initial et apprentissage).   La connaissance des métiers et référentiel de formation des métiers de bouche et/ou de la restauration est un réel atout.     Cadre au forfait 209 Jours. Salaire annoncé incluant 13ème mois."
"Project Manager Ingénierie (H/F)","59 - LAMBRES LEZ DOUAI","59552","M1803","CDI","N/A","Temps plein","2 An(s)","Bac+5 et plus ou équivalents","Dans ce rôle, vous serez responsable de toutes les activités d'ingénierie tout au long du projet, depuis la conception de base jusqu'à la mise en service, en veillant à ce que toutes les activités respectent les normes HSE, la qualité, le calendrier et le budget d'AESC. De plus, le Responsable Ingénierie Projet sera chargé de coordonner la communication et la collaboration entre les disciplines d'ingénierie, ainsi qu'avec les équipes de construction, d'approvisionnement et les sous-traitants.  Responsabilités principales :  - Coordination et supervision des disciplines d'ingénierie et des parties prenantes pertinentes du projet pour définir les spécifications du projet et garantir l'exécution technique. - Représentation technique auprès des parties prenantes internes, des sous-traitants et des fournisseurs. - Surveillance des politiques de qualité d'AESC et des obligations contractuelles. - Mise en œuvre d'initiatives de réduction des coûts en proposant des solutions techniques optimisées. - Gestion des risques et des changements, préparation et exécution des calendriers, respect du budget.  Profil requis :  - Expérience impérative dans l'industrie batterie Li-ion (au moins 2 ans) - Expérience accomplie en gestion de projets - Excellentes compétences en communication écrite et orale en français et/ou en anglais. - Esprit orienté solutions et résolution de problèmes. - Capacité à travailler dans une organisation performante, transversale, avec des délais et des objectifs exigeants."
"Technicien Supérieur Aéronautique -Ingénierie et Coûts (H/F)","94 - Villeneuve-le-Roi","94290","I1602","CDI","Annuel de 32000.0 Euros à 37000.0 Euros sur 13.0 mois","Temps plein","1 An(s)","N/A","Présentation du contexte Deuxième acteur mondial sur le marché de la maintenance aéronautique, Air France Industries poursuit sa stratégie de développement avec l'ambition d'affirmer sa position parmi les leaders mondiaux.  Avec plus de 200 compagnies aériennes clientes et près de 2000 avions supportés, l'activité de maintenance aéronautique du groupe Air France est en pleine expansion.  Afin de continuer sur cette lancée, nous recherchons de nouveaux talents passionnés par les métiers techniques aéronautiques.     Caractéristiques du poste :  - Localisation : Villeneuve el Roi (Val de Marne 94)  - Type de contrat : CDI  - Salaire : Rémunération calculée en fonction de votre expérience passée dans la maintenance aéronautique  - Horaires : Administratif    Pourquoi rejoindre l'entreprise ?  Rejoindre Air France Industries, c'est intégrer une direction à la pointe de l'innovation et des nouvelles technologies, au sein d'une entreprise responsable socialement et environnementalement.     Vous développerez vos compétences techniques dans des environnements variés et bénéficierez d'opportunités d'évolution. Air France valorise et fait évoluer ses collaborateurs grâce à des formations, des entretiens de performance et des multiples possibilités de carrière.   De plus, vous bénéficierez d'avantages tels que l'indemnisation kilométrique, l'accès aux billets d'avion à tarifs réduits, des facilités de stationnement sur Roissy, et des activités sociales et culturelles à tarifs préférentiels.  Description de la mission En tant que Technicien Supérieur Aéronautique -Ingénierie et Coûts vos missions principales seront :  -Optimiser les activités de production et de support technique.  - Gérer les standards techniques du pool équipement.  - Analyser les documents pour évaluer l'efficacité technico-économique.  - Réaliser des études de fiabilité du produit.  - Participer aux décisions de modifications avec les parties prenantes.  - Surveiller et maîtriser les coûts avec des plans d'action.  - Proposer de nouvelles procédures de travail ou de réparations.  - Assurer la qualité, les délais et la sécurité des vols.  Profil recherché Vous êtes fait pour ce poste si :  - Vous êtes titulaire d'un BTS ou d'une Licence professionnelle en aéronautique ou dans l'industrie.  - Vous disposez d'une expérience de 1 à 3 ans au sein d'un bureau technique ou d'un bureau d'études.  - Vous avez une bonne maîtrise des outils informatiques et de l'anglais technique (score Bright niveau 3 (80%).  - Vous êtes rigoureux, et respectueux des procédures.  - Vous êtes autonome, organisé et doté d'un bon esprit d'analyse.  - Vous êtes curieux et force de proposition.  - Vous avez un bon esprit d'équipe et un sens aigu du client interne et externe.     Pièces à joindre :  - Votre CV actualisé - Vos diplômes - Votre pièce d'identité - Un niveau d'anglais technique Bright de niveau 3 (80%)  Process de recrutement : Test psychotechnique à distance  Un entretien en job dating de 40 min  Test d'anglais bright à réaliser à distance   Toutes les étapes sont éliminatoires"
"Chargé.e de projet et d'ingénierie en Promotion de la santé (H/F)","03 - Allier","N/A","K1205","CDI","Mensuel de 1848.0 Euros à 1900.0 Euros sur 12.0 mois","Temps partiel","Débutant accepté","Bac+5 et plus ou équivalents","Le/la chargé(e) de projets élabore, coordonne, met en œuvre et évalue, de façon participative et partenariale, des projets et des actions en éducation et promotion de la santé. Il contribue au développement des compétences des professionnels intervenant dans le champ de la Santé Publique.   Il/elle élabore et conduit des projets en promotion de la santé Il/elle évalue et valorise ces projets Il/elle développe le partenariat sur le territoire de l'Allier Il/elle apporte un appui méthodologique aux professionnels   Une connaissance et/ou une expérience souhaitée, sur la thématique Santé Environnement."
"Chef de projet d'affaires d'ingénierie industrielle (H/F)","74 - Évian-les-Bains","74500","H1102","CDI","Annuel de 55000.0 Euros à 75000.0 Euros sur 12.0 mois","Temps plein","3 An(s)","N/A","Responsable de Projets Industriels (H/F)    Vous avez un goût prononcé pour la gestion de projets techniques et souhaitez évoluer dans un environnement international et multiculturel ? Ce poste est l'opportunité de relever des défis ambitieux au sein d'une entreprise reconnue pour son expertise dans l'industrie pharmaceutique.       Vos objectifs clés  -Garantir la réussite des projets : Assurer la conformité technique des équipements livrés, dans le respect des délais et du budget alloués.  -Piloter des projets complexes : Coordonner toutes les étapes, de la commande client à la mise en service, en maintenant une communication fluide avec les parties prenantes internes et externes.  -Représenter l'entreprise auprès des clients : Animer des réunions techniques en anglais, négocier des avenants et défendre les intérêts de l'entreprise.  -Optimiser les performances : Identifier et résoudre proactivement les problématiques techniques, commerciales et organisationnelles.  Vos missions    Rattaché(e) au Responsable du pôle RP, vous intégrerez une équipe de 7 experts et serez chargé(e) de :  -Analyser et gérer les contrats : Assurer la conformité des équipements et piloter les budgets (matériel, main-d'œuvre, prestations).  -Planifier et suivre les projets : Établir un planning précis et garantir l'avancement des différentes étapes jusqu'à la mise en service chez les clients.  -Communiquer avec les clients : Gérer les relations avec des interlocuteurs exigeants (sociétés d'ingénierie, grands groupes pharmaceutiques) et négocier les avenants liés aux modifications.  -Coordonner les équipes internes : Superviser les activités des différents services pour assurer la cohérence des actions et le respect des engagements.       Votre profil  -Formation : Ingénieur ou Bac3 technique avec une expérience significative en gestion de projets ou en tant que chargé(e) d'affaires.  -Expérience : Confirmée en gestion de projets industriels, idéalement dans la thermique, la mécanique des fluides ou les procédés pharmaceutiques.  -Connaissances en process pharma, conception mécanique, thermique, mécanique des fluides et automatisme (un plus).  -Très bon niveau d'anglais indispensable.       Pourquoi nous rejoindre ?  -Rémunération attractive : salaire annuel brut entre 55 000  et 75 000  (fixe  variable).  -Avantages sociaux :  -13ème mois et participation aux résultats de l'entreprise.  -Mutuelle prise en charge à 80% pour toute la famille.  -Activités et avantages proposés par le comité d'entreprise.    Conditions de travail optimales :  -Statut cadre, forfait 218 jours.  -Poste en CDI basé à Évian (74).  Envie de relever ce nouveau défi ?  Je serais ravie de traiter votre candidature et de vous accompagner tout au long du processus de recrutement."
"Responsable Ingénierie des Infrastructures Civiles H/F LYON TURIN","73 - CHAMBERY","73000","F1111","CDI","N/A","Temps plein","10 An(s) - Genie civil travaux souterrains","N/A","Dans le cadre de la Fonction Ingénierie des infrastructures civiles, au sein de la Direction Ingénierie, le poste prévoit les activités suivantes : - la planification, le suivi et le contrôle des délais et des coûts des activités de projet, ainsi que des modifications/variantes éventuelles ; - vérification des projets de détail élaborés par les entreprises de construction et de la cohérence de la réalisation par rapport au projet et aux éventuelles modifications/variantes, en définissant ou en validant les mesures correctives à prendre en cas de non-conformité constatée et en fournissant l'assistance d'experts nécessaire ;  - en collaboration avec les autres structures internes, garantir le respect de ce qui est prévu en matière d'environnement, de santé et de sécurité au travail et de sécurité ; - assurer la conception dans le domaine ferroviaire, en préparation de la deuxième phase de TELT en sa qualité de gestionnaire de l'infrastructure ferroviaire pendant la phase de réalisation de celle-ci. - fournir une assistance spécialisée appropriée aux autres Fonctions de la Société concernées, Le rôle prévoit des séjours de quelques jours en Italie. La disponibilité à une période de formation initiale de 6-8 mois à Collegno (TO, Italie) est requise.  Profil - conditions demandées : Connaissances : - connaissance avancée des ouvrages de génie civil souterrain (excavation traditionnelle et excavation mécanisée) relatifs aux infrastructures linéaires, notamment dans les domaines de la géotechnique, de la géo mécanique et des techniques d'excavation, projet des ouvrages de soutien de première phase et des revêtements pour les tunnels excavés par des méthodes traditionnelles, projet des blocs préfabriqués pour les tunnels excavés par TBM, - connaissance de la gestion de projet d'infrastructure linéaire avec le BIM. - Langues : Français: maîtrise - Italien: base/intermédiaire (souhaité)  Compétences: - autonomie opérationnelle, - capacité à travailler au sein d'un groupe complexe de manière transversale, - propension à la recherche, à la sélection et à l'analyse des informations nécessaires pour pouvoir exprimer des évaluations techniques sur des choix de conception dans le respect des exigences de base, proposer des choix alternatifs, communiquer efficacement à l'intérieur et à l'extérieur de TELT. - capacités de coordination et de gestion de groupes de travail interdisciplinaires. - capacité de gestion du temps - compétences en communication  Expérience professionnelle : minimum 10 ans dans le cadre de la conception de travaux civils ayant une expérience dans les travaux souterrains.  "
"Assistant-e Ingénierie (H/F)","31 - CASTANET TOLOSAN","31320","F1106","CDI","N/A","Temps plein","10 An(s)","Bac+2 ou équivalents","Missions :  Rattaché-e à la direction de l'Ingénierie et sous la responsabilité du directeur de l'ingénierie, vous aurez pour mission de contribuer activement aux projets de Rives & Eaux dans les domaines des aménagements hydrauliques, des énergies renouvelables et du développement du territoire. Vous serez impliqué-e dans diverses missions visant à soutenir et organiser les activités de votre groupe, tout en assurant le bon fonctionnement de la cellule de gestion de la direction :   - Missions spécifiques rattachées à la direction de l'ingénierie.  o Préparer et suivre les demandes de financement auprès des financeurs publics, en collaboration avec les managers.  o Assurer la liaison avec le département commercial pour la préparation des réponses aux appels d'offres et la gestion des mobilisations.  o Gérer l'agence de Toulouse et les véhicules associés.  - Missions de gestion administrative au sein du groupe infrastructure hydraulique 2.  o Gérer les appels téléphoniques, accueils physiques et correspondances (courriers, rapports, comptes rendus, prises de notes).  o Organiser les réunions, gérer les plannings, et assurer la préparation logistique des réunions et déplacements.  o Suivre les absences, comptes rendus d'activité et saisir dans l'ERP les fichiers de planification.  o Mettre à jour les indicateurs et outils de suivi d'activité du groupe.  - Missions de gestion de projet.  o Préparer les revues de projets avec les chefs de projet et assister à la création des documents administratifs, techniques et financiers en respectant les procédures qualité.  o Réaliser les DT/DICT et veiller à la complétude des dossiers projets (contrats, ordres de service, lettres de mission, etc.).  o Suivre les éléments financiers, les jalons et les délais des projets, ainsi que la facturation et les paiements.  o Indexer, classer et archiver les documents relatifs aux projets.   Profil recherché :  De formation de niveau Bac+2 (BTS, DUT...) de type assistant PME-PMI, de direction ou en gestion d'entreprise, vous justifiez a minima d'une expérience professionnelle de 10 ans, idéalement dans les domaines de la gestion administrative de projets, de contrats ainsi que dans les domaines de la commande publique et des réponses aux appels d'offres.  Vous maîtrisez parfaitement les outils informatiques (Word, Excel, outils de planification.), une bonne pratique de l'anglais serait appréciée. Vous êtes particulièrement sensibilisé-e aux aspects qualité et sécurité ; vous avez l'envie de découvrir de nouvelles activités.  Autonome, rigoureux-se, avec de réelles capacités d'organisation ainsi qu'une grande polyvalence qui vous permettent d'évoluer dans des équipes pluridisciplinaires, vos qualités relationnelles font de vous le lien au sein de votre groupe et le relais avec les autres services de l'entreprise. Vos capacités rédactionnelles et de synthèse ne sont plus à démontrer.  "
